,DenoisingAutoEncoder (DAE)
OBSEA/2020-01-01.out,0.0
OBSEA/2020-01-02.out,0.0109890109890109
OBSEA/2020-01-03.out,0.0070921985815602
OBSEA/2020-01-04.out,0.1324828263002944
OBSEA/2020-01-05.out,0.0036363636363636
OBSEA/2020-01-06.out,0.0
OBSEA/2020-01-07.out,0.744131455399061
OBSEA/2020-01-08.out,0.1456185567010309
OBSEA/2020-01-09.out,0.2258758451137062
OBSEA/2020-01-10.out,0.0
OBSEA/2020-01-11.out,0.0
OBSEA/2020-01-12.out,0.0
OBSEA/2020-01-13.out,0.0
OBSEA/2020-01-14.out,0.0
OBSEA/2020-01-15.out,0.0
OBSEA/2020-01-16.out,0.0
OBSEA/2020-01-17.out,0.0
OBSEA/2020-01-18.out,0.0
OBSEA/2020-01-19.out,0.0
OBSEA/2020-01-20.out,0.0
OBSEA/2020-01-21.out,0.0
OBSEA/2020-01-22.out,0.0
OBSEA/2020-02-15.out,0.0
OBSEA/2020-02-16.out,0.0
OBSEA/2020-02-17.out,0.0
OBSEA/2020-02-18.out,0.0
OBSEA/2020-02-19.out,0.0
OBSEA/2020-02-20.out,0.0
OBSEA/2020-02-21.out,0.0
OBSEA/2020-02-22.out,0.0
OBSEA/2020-02-23.out,0.0
OBSEA/2020-02-24.out,0.0
OBSEA/2020-02-25.out,0.0
OBSEA/2020-02-26.out,0.0
OBSEA/2020-02-27.out,0.0
OBSEA/2020-02-28.out,0.0
OBSEA/2020-02-29.out,0.1098901098901098
OBSEA/2020-03-01.out,0.0
OBSEA/2020-03-02.out,0.0
OBSEA/2020-03-03.out,0.0
OBSEA/2020-03-04.out,0.0
OBSEA/2020-03-05.out,0.0
OBSEA/2020-03-06.out,0.0
OBSEA/2020-03-07.out,0.0
OBSEA/2020-03-08.out,0.0
OBSEA/2020-03-09.out,0.0
OBSEA/2020-03-10.out,0.0109890109890109
OBSEA/2020-03-11.out,0.0
OBSEA/2020-03-12.out,0.0
OBSEA/2020-03-13.out,0.0
OBSEA/2020-03-14.out,0.0
OBSEA/2020-03-15.out,0.0
OBSEA/2020-03-16.out,0.0
OBSEA/2020-03-17.out,0.0217391304347826
OBSEA/2020-03-18.out,0.0
OBSEA/2020-03-19.out,0.0
OBSEA/2020-03-20.out,0.0
OBSEA/2020-03-21.out,0.0
OBSEA/2020-03-22.out,0.0
OBSEA/2020-03-23.out,0.0
OBSEA/2020-03-24.out,0.0
OBSEA/2020-03-25.out,0.0
OBSEA/2020-03-26.out,0.0
OBSEA/2020-03-27.out,0.0
OBSEA/2020-03-28.out,0.0
OBSEA/2020-03-29.out,0.0
OBSEA/2020-03-30.out,0.0
OBSEA/2020-03-31.out,0.0
OBSEA/2020-04-01.out,0.4893617021276595
OBSEA/2020-04-02.out,0.0
OBSEA/2020-04-03.out,0.0
OBSEA/2020-04-04.out,0.0
OBSEA/2020-04-05.out,0.0
OBSEA/2020-04-06.out,0.0
OBSEA/2020-04-07.out,0.0
OBSEA/2020-04-08.out,0.0
OBSEA/2020-04-09.out,0.0
OBSEA/2020-04-10.out,0.0
OBSEA/2020-04-11.out,0.0921052631578947
OBSEA/2020-04-12.out,0.0
OBSEA/2020-04-13.out,0.0
OBSEA/2020-04-14.out,0.0
OBSEA/2020-04-15.out,0.0
OBSEA/2020-04-16.out,0.0
OBSEA/2020-04-17.out,0.0
OBSEA/2020-04-18.out,0.0
OBSEA/2020-04-19.out,0.0
OBSEA/2020-04-20.out,0.0
OBSEA/2020-04-21.out,0.0
OBSEA/2020-04-22.out,0.0
OBSEA/2020-04-23.out,0.4462474645030426
OBSEA/2020-04-24.out,0.143026706231454
OBSEA/2020-05-01.out,0.0421940928270042
OBSEA/2020-05-02.out,0.0
OBSEA/2020-05-03.out,0.0
OBSEA/2020-05-04.out,0.8342541436464088
OBSEA/2020-05-05.out,0.0
OBSEA/2020-05-06.out,0.6065573770491803
OBSEA/2020-05-07.out,0.0
OBSEA/2020-05-08.out,0.0702099737532808
OBSEA/2020-05-09.out,0.0143472022955523
OBSEA/2020-05-10.out,0.0
OBSEA/2020-05-11.out,0.0
OBSEA/2020-05-12.out,0.2388369678089304
OBSEA/2020-05-13.out,0.0439779005524861
OBSEA/2020-05-14.out,0.3621578738595795
OBSEA/2020-05-15.out,0.7617866004962779
OBSEA/2020-05-16.out,0.0
OBSEA/2020-05-17.out,0.0
OBSEA/2020-05-18.out,0.0
OBSEA/2020-05-19.out,0.0
OBSEA/2020-05-20.out,0.0
OBSEA/2020-05-21.out,0.0
OBSEA/2020-05-22.out,0.0
OBSEA/2020-05-23.out,0.0
OBSEA/2020-05-24.out,0.7918088737201365
OBSEA/2020-05-25.out,0.0
OBSEA/2020-05-26.out,0.2056737588652482
OBSEA/2020-05-27.out,0.0
OBSEA/2020-05-28.out,0.3526912181303116
OBSEA/2020-05-29.out,0.0
OBSEA/2020-05-30.out,0.0
OBSEA/2020-05-31.out,0.4146341463414634
OBSEA/2020-06-01.out,0.3867924528301887
OBSEA/2020-06-02.out,0.0
OBSEA/2020-06-03.out,0.0
OBSEA/2020-06-04.out,0.0
OBSEA/2020-06-05.out,0.0430622009569378
OBSEA/2020-06-06.out,0.0
OBSEA/2020-06-07.out,0.5330073349633252
OBSEA/2020-06-08.out,0.0
OBSEA/2020-06-09.out,0.6473282442748092
OBSEA/2020-06-10.out,0.1559139784946236
OBSEA/2020-06-11.out,0.001514577811435
OBSEA/2020-06-12.out,0.0
OBSEA/2020-06-13.out,0.2379518072289156
OBSEA/2020-06-14.out,0.2172073342736248
OBSEA/2020-06-15.out,0.0
OBSEA/2020-06-16.out,0.3617977528089887
OBSEA/2020-06-17.out,0.0
OBSEA/2020-06-18.out,0.1421356421356421
OBSEA/2020-06-19.out,0.0
OBSEA/2020-06-20.out,0.0362212432697014
OBSEA/2020-06-21.out,0.0
OBSEA/2020-06-22.out,0.5777777777777777
OBSEA/2020-06-23.out,0.5345982142857143
OBSEA/2020-06-24.out,0.3902439024390244
OBSEA/2020-06-25.out,0.0
OBSEA/2020-06-26.out,0.0095168374816983
OBSEA/2020-06-27.out,0.0
OBSEA/2020-06-28.out,0.8022892819979188
OBSEA/2020-06-29.out,0.7607843137254902
OBSEA/2020-06-30.out,0.4144427001569858
OBSEA/2020-07-01.out,0.0
OBSEA/2020-07-02.out,0.0
OBSEA/2020-07-03.out,0.0
OBSEA/2020-07-04.out,0.0038986354775828
OBSEA/2020-07-05.out,0.0
OBSEA/2020-07-06.out,0.0026187803965581
OBSEA/2020-07-07.out,0.4805914972273567
OBSEA/2020-07-08.out,0.0
OBSEA/2020-07-09.out,0.4660601819454164
OBSEA/2020-07-10.out,0.0
OBSEA/2020-07-11.out,0.0
OBSEA/2020-07-12.out,0.0766389658356417
OBSEA/2020-07-13.out,0.0053890198720107
OBSEA/2020-07-14.out,0.0024238227146814
OBSEA/2020-07-15.out,0.4385348720521826
OBSEA/2020-07-16.out,0.0
OBSEA/2020-07-17.out,0.0005580357142857
OBSEA/2020-07-18.out,0.0
OBSEA/2020-07-19.out,0.3115610711952972
OBSEA/2020-07-20.out,0.7375201288244766
OBSEA/2020-07-21.out,0.7555555555555555
OBSEA/2020-07-22.out,0.0
OBSEA/2020-07-23.out,0.0
OBSEA/2020-07-24.out,0.0
OBSEA/2020-07-25.out,0.0
OBSEA/2020-07-26.out,0.0
OBSEA/2020-07-27.out,0.8333333333333334
OBSEA/2020-07-28.out,0.0
OBSEA/2020-08-01.out,0.5940959409594095
OBSEA/2020-08-02.out,0.7195340501792115
OBSEA/2020-08-03.out,0.8019662921348315
OBSEA/2020-08-04.out,0.3794139744552968
OBSEA/2020-08-05.out,0.0
OBSEA/2020-08-06.out,0.5238095238095238
OBSEA/2020-08-07.out,0.5661157024793388
OBSEA/2020-08-08.out,0.0
OBSEA/2020-08-09.out,0.0
OBSEA/2020-08-10.out,0.0
OBSEA/2020-08-11.out,0.4202192448233861
OBSEA/2020-08-12.out,0.3241551939924906
OBSEA/2020-08-13.out,0.0
OBSEA/2020-08-14.out,0.6234058514628658
OBSEA/2020-08-15.out,0.0
OBSEA/2020-08-16.out,0.0
OBSEA/2020-08-17.out,0.548768472906404
OBSEA/2020-08-18.out,0.2991525423728813
OBSEA/2020-08-19.out,0.0
OBSEA/2020-08-20.out,0.4477434679334917
OBSEA/2020-08-21.out,0.0
OBSEA/2020-08-22.out,0.3076923076923077
OBSEA/2020-08-23.out,0.0
OBSEA/2020-08-24.out,0.3122087604846225
OBSEA/2020-08-25.out,0.2052173913043478
OBSEA/2020-08-26.out,0.0003423485107839
OBSEA/2020-08-27.out,0.0
OBSEA/2020-08-28.out,0.0
OBSEA/2020-08-29.out,0.0
OBSEA/2020-08-30.out,0.118968779564806
OBSEA/2020-08-31.out,0.0
OBSEA/2020-09-01.out,0.7515923566878981
OBSEA/2020-09-02.out,0.0
OBSEA/2020-09-03.out,0.0
OBSEA/2020-09-04.out,0.0
OBSEA/2020-09-05.out,0.2024647887323943
OBSEA/2020-09-06.out,0.4799708667152221
OBSEA/2020-09-07.out,0.0
OBSEA/2020-09-08.out,0.0
OBSEA/2020-09-09.out,0.1578099838969404
OBSEA/2020-09-10.out,0.0
OBSEA/2020-09-11.out,0.0
OBSEA/2020-09-12.out,0.0
OBSEA/2020-09-13.out,0.0
OBSEA/2020-09-14.out,0.9848484848484848
OBSEA/2020-09-15.out,0.0
OBSEA/2020-09-16.out,0.0
OBSEA/2020-09-17.out,0.0
OBSEA/2020-09-18.out,0.0
OBSEA/2020-09-19.out,0.0
OBSEA/2020-09-20.out,0.07117903930131
OBSEA/2020-09-21.out,0.3768421052631578
OBSEA/2020-09-22.out,0.3442879499217527
OBSEA/2020-09-23.out,0.0
OBSEA/2020-09-24.out,0.0
OBSEA/2020-09-25.out,0.7277032359905288
OBSEA/2020-09-26.out,0.0
OBSEA/2020-09-27.out,0.0
OBSEA/2020-09-28.out,0.0
OBSEA/2020-09-29.out,0.1725043782837128
OBSEA/2020-09-30.out,0.5326340326340326
OBSEA/2020-10-01.out,0.0
OBSEA/2020-10-02.out,0.0
OBSEA/2020-10-03.out,0.3485054347826087
OBSEA/2020-10-04.out,0.0
OBSEA/2020-10-05.out,0.3869565217391304
OBSEA/2020-10-06.out,0.14026792750197
OBSEA/2020-10-07.out,0.0
OBSEA/2020-10-08.out,0.212406015037594
OBSEA/2020-10-09.out,0.5078864353312302
OBSEA/2020-10-10.out,0.7419354838709677
OBSEA/2020-10-11.out,0.3696498054474708
OBSEA/2020-10-12.out,0.0
OBSEA/2020-10-13.out,0.0
OBSEA/2020-10-14.out,0.0023419203747072
OBSEA/2020-10-15.out,0.0
OBSEA/2020-10-16.out,0.1576227390180878
OBSEA/2020-10-17.out,0.0
OBSEA/2020-10-18.out,0.0
OBSEA/2020-10-19.out,0.5137895812053116
OBSEA/2020-10-20.out,0.0293077311773623
OBSEA/2020-10-21.out,0.6954022988505747
OBSEA/2020-10-22.out,0.2033137728684846
OBSEA/2020-10-23.out,0.3478784231116461
OBSEA/2020-10-24.out,0.0
OBSEA/2020-10-25.out,0.2366288492706645
OBSEA/2020-10-26.out,0.0
OBSEA/2020-10-27.out,0.000437445319335
OBSEA/2020-10-28.out,0.8258003766478342
OBSEA/2020-10-29.out,0.0012150668286755
