,LOF
OBSEA/2020-01-02.out,0.34366576819407013
OBSEA/2020-01-03.out,0.28885004797621583
OBSEA/2020-01-04.out,0.3746630727762803
OBSEA/2020-01-05.out,0.12663888777894938
OBSEA/2020-01-06.out,0.3638814016172507
OBSEA/2020-01-07.out,0.26607352803269735
OBSEA/2020-01-08.out,0.2493261455525606
OBSEA/2020-01-09.out,0.6645154237789522
OBSEA/2020-01-10.out,0.6401617250673854
OBSEA/2020-01-11.out,0.6388140161725068
OBSEA/2020-01-12.out,0.6266846361185984
OBSEA/2020-01-13.out,0.6091644204851752
OBSEA/2020-01-14.out,0.6078167115902965
OBSEA/2020-01-15.out,0.628032345013477
OBSEA/2020-01-16.out,0.0
OBSEA/2020-01-17.out,0.0
OBSEA/2020-01-18.out,0.0
OBSEA/2020-01-19.out,0.0
OBSEA/2020-01-20.out,0.0
OBSEA/2020-01-21.out,0.0
OBSEA/2020-01-22.out,0.0
OBSEA/2020-02-15.out,1.0
OBSEA/2020-02-16.out,1.0
OBSEA/2020-02-17.out,1.0
OBSEA/2020-02-18.out,1.0
OBSEA/2020-02-19.out,1.0
OBSEA/2020-02-20.out,1.0
OBSEA/2020-02-22.out,1.0
OBSEA/2020-02-24.out,1.0
OBSEA/2020-02-25.out,1.0
OBSEA/2020-02-26.out,1.0
OBSEA/2020-02-27.out,1.0
OBSEA/2020-02-29.out,1.0
OBSEA/2020-03-01.out,1.0
OBSEA/2020-03-02.out,1.0
OBSEA/2020-03-05.out,1.0
OBSEA/2020-03-07.out,1.0
OBSEA/2020-03-08.out,1.0
OBSEA/2020-03-10.out,1.0
OBSEA/2020-03-11.out,1.0
OBSEA/2020-03-15.out,1.0
OBSEA/2020-03-16.out,1.0
OBSEA/2020-03-18.out,1.0
OBSEA/2020-03-19.out,1.0
OBSEA/2020-03-20.out,1.0
OBSEA/2020-03-21.out,1.0
OBSEA/2020-03-22.out,1.0
OBSEA/2020-03-23.out,1.0
OBSEA/2020-03-24.out,1.0
OBSEA/2020-03-25.out,1.0
OBSEA/2020-03-26.out,1.0
OBSEA/2020-03-27.out,1.0
OBSEA/2020-03-28.out,1.0
OBSEA/2020-03-29.out,1.0
OBSEA/2020-03-30.out,1.0
OBSEA/2020-03-31.out,1.0
OBSEA/2020-04-01.out,1.0
OBSEA/2020-04-02.out,1.0
OBSEA/2020-04-03.out,1.0
OBSEA/2020-04-04.out,1.0
OBSEA/2020-04-05.out,0.30727762803234504
OBSEA/2020-04-06.out,0.25336927223719674
OBSEA/2020-04-07.out,0.2021563342318059
OBSEA/2020-04-08.out,0.30053908355795145
OBSEA/2020-04-09.out,0.2695417789757413
OBSEA/2020-04-10.out,0.3517520215633423
OBSEA/2020-04-11.out,0.6708269152557773
OBSEA/2020-04-12.out,0.19407008086253374
OBSEA/2020-04-13.out,0.3746630727762803
OBSEA/2020-04-14.out,0.27762803234501343
OBSEA/2020-04-15.out,0.2924528301886793
OBSEA/2020-04-19.out,0.25202156334231807
OBSEA/2020-04-21.out,0.30592991913746626
OBSEA/2020-04-23.out,0.3468964075819148
OBSEA/2020-04-24.out,0.8355337886075976
OBSEA/2020-05-01.out,1.0
