algorithm,collection,dataset,algo_training_type,algo_input_dimensionality,dataset_training_type,dataset_input_dimensionality,train_preprocess_time,train_main_time,execute_preprocess_time,execute_main_time,execute_postprocess_time,status,error_message,repetition,hyper_params,hyper_params_id,ROC_AUC,RANGE_PR_AUC,result_path,BestF1Score,FalseNegativeRate,train_postprocess_time,Recommendation_ACC
HBOS,OBSEA,2021-12-31_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,13.063772678375244,,Status.OK,,3,"{'n_bins': 20, 'random_state': 42}",cf425e384a70a0bc760418d597d853dd,,1.0,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_12_46_09/results.csv,0.999995000025,0.0,,0.999995000025
HBOS,OBSEA,2021-12-26_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,17.845182180404663,,Status.OK,,2,"{'n_bins': 20, 'random_state': 42}",cf425e384a70a0bc760418d597d853dd,,1.0,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_11_41_53/results.csv,0.999995000025,0.0,,0.999995000025
PCC,OBSEA,2021-12-31_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,8.301547050476074,,Status.OK,,3,"{'random_state': 42, 'svd_solver': 'auto'}",6f4f0a7ce802ffdcb5a6590625043544,,1.0,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_12_45_09/results.csv,0.999995000025,0.0,,0.999995000025
PCC,OBSEA,2021-12-30_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,8.768526554107666,,Status.OK,,1,"{'random_state': 42, 'svd_solver': 'auto'}",6f4f0a7ce802ffdcb5a6590625043544,,1.0000000000000002,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_09_34_23/results.csv,0.999995000025,0.0,,0.999995000025
HBOS,OBSEA,2021-12-28_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,11.004120349884031,,Status.OK,,1,"{'n_bins': 20, 'random_state': 42}",cf425e384a70a0bc760418d597d853dd,,1.0,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_01_32_05/results.csv,0.999995000025,0.0,,0.999995000025
AutoEncoder (AE),OBSEA,2021-12-30,semi-supervised,multivariate,multivariate,semi-supervised,,25.55873727798462,,10.878765344619753,,Status.OK,,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",dfdc9a9fdc00b09d9d188aaabfa8f91c,,1.0,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_20_05_55_53/results.csv,0.999995000025,0.0,,0.999995000025
PCC,OBSEA,2021-12-28_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,7.346379995346069,,Status.OK,,1,"{'random_state': 42, 'svd_solver': 'auto'}",6f4f0a7ce802ffdcb5a6590625043544,,1.0,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_01_31_05/results.csv,0.999995000025,0.0,,0.999995000025
PCC,OBSEA,2021-12-27_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,9.592818260192873,,Status.OK,,3,"{'random_state': 42, 'svd_solver': 'auto'}",6f4f0a7ce802ffdcb5a6590625043544,,1.0,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_20_07_29_14/results.csv,0.999995000025,0.0,,0.999995000025
PCC,OBSEA,2021-12-25_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,10.4971182346344,,Status.OK,,1,"{'random_state': 42, 'svd_solver': 'auto'}",6f4f0a7ce802ffdcb5a6590625043544,,1.0,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_20_06_38_22/results.csv,0.999995000025,0.0,,0.999995000025
PCC,OBSEA,2021-12-29_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,6.951066970825195,,Status.OK,,1,"{'random_state': 42, 'svd_solver': 'auto'}",6f4f0a7ce802ffdcb5a6590625043544,,1.0000000000000002,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_15_14_49/results.csv,0.999995000025,0.0,,0.999995000025
HBOS,OBSEA,2021-12-29_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,14.840832233428957,,Status.OK,,1,"{'n_bins': 20, 'random_state': 42}",cf425e384a70a0bc760418d597d853dd,,1.0,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_20_03_28_27/results.csv,0.999995000025,0.0,,0.999995000025
HBOS,OBSEA,2021-12-30_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,14.821786880493164,,Status.OK,,1,"{'n_bins': 20, 'random_state': 42}",cf425e384a70a0bc760418d597d853dd,,1.0,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_09_35_23/results.csv,0.999995000025,0.0,,0.999995000025
HBOS,OBSEA,2021-12-25_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,12.173562049865724,,Status.OK,,1,"{'n_bins': 20, 'random_state': 42}",cf425e384a70a0bc760418d597d853dd,,1.0000000000000002,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_05_01_38/results.csv,0.999995000025,0.0,,0.999995000025
PCC,OBSEA,2021-12-26_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,11.719829082489014,,Status.OK,,1,"{'random_state': 42, 'svd_solver': 'auto'}",6f4f0a7ce802ffdcb5a6590625043544,,1.0000000000000002,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_23_17_10/results.csv,0.999995000025,0.0,,0.999995000025
HBOS,OBSEA,2021-12-27_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,11.522294998168944,,Status.OK,,2,"{'n_bins': 20, 'random_state': 42}",cf425e384a70a0bc760418d597d853dd,,1.0,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_04_53_37/results.csv,0.999995000025,0.0,,0.999995000025
PCC,OBSEA,2021-12-24_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,7.187177658081055,,Status.OK,,2,"{'random_state': 42, 'svd_solver': 'auto'}",6f4f0a7ce802ffdcb5a6590625043544,0.9865043464634446,0.964757106072748,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_05_28_42/results.csv,0.9844357070107144,0.0253955037468776,,0.9590402032638368
HBOS,OBSEA,2021-01-10_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,13.569121599197388,,Status.OK,,1,"{'n_bins': 20, 'random_state': 42}",cf425e384a70a0bc760418d597d853dd,0.4644086949082457,0.95630087218794,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_20_06_58_07/results.csv,0.9499076508925608,0.0,,0.9499076508925608
DenoisingAutoEncoder (DAE),OBSEA,2021-01-10,semi-supervised,multivariate,multivariate,semi-supervised,,25.061601161956787,,10.178125619888306,,Status.OK,,2,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",bafd0b5bab66633b17924ba1c20b0398,0.3616093707669713,0.9652383770922776,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_20_06_56_07/results.csv,0.9499076508925608,0.0,,0.9499076508925608
PCC,OBSEA,2021-01-10_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,7.880667448043823,,Status.OK,,3,"{'random_state': 42, 'svd_solver': 'auto'}",6f4f0a7ce802ffdcb5a6590625043544,0.3015092752341978,0.9782574856733436,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_02_10_11/results.csv,0.9499076508925608,0.0,,0.9499076508925608
Torsk,OBSEA,2021-12-29_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,1843.4628727436063,0.0253381729125976,Status.OK,,2,"{'context_window_size': 10, 'density': 0.01, 'imed_loss': False, 'input_map_scale': 0.125, 'input_map_size': 100, 'prediction_window_size': 5, 'random_state': 42, 'reservoir_representation': 'sparse', 'scoring_large_window_size': 100, 'scoring_small_window_size': 10, 'spectral_radius': 2.0, 'tikhonov_beta': None, 'train_method': 'pinv_svd', 'train_window_size': 100, 'transient_window_size': 20, 'verbose': 0}",de9b8b973f50539dc5ef4c8c1a722f4b,,1.0000000000000002,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_15_16_49/results.csv,0.999995000025,0.1157407407407407,,0.8842542592842593
Torsk,OBSEA,2021-12-28_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,2031.2223680019376,0.0114965438842773,Status.OK,,1,"{'context_window_size': 10, 'density': 0.01, 'imed_loss': False, 'input_map_scale': 0.125, 'input_map_size': 100, 'prediction_window_size': 5, 'random_state': 42, 'reservoir_representation': 'sparse', 'scoring_large_window_size': 100, 'scoring_small_window_size': 10, 'spectral_radius': 2.0, 'tikhonov_beta': None, 'train_method': 'pinv_svd', 'train_window_size': 100, 'transient_window_size': 20, 'verbose': 0}",de9b8b973f50539dc5ef4c8c1a722f4b,,1.0,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_01_33_05/results.csv,0.999995000025,0.1157407407407407,,0.8842542592842593
DenoisingAutoEncoder (DAE),OBSEA,2021-01-11,semi-supervised,multivariate,multivariate,semi-supervised,,18.73035955429077,,9.268907070159912,,Status.OK,,2,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",bafd0b5bab66633b17924ba1c20b0398,0.5130091927324265,0.9204934490110404,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_02_19_12/results.csv,0.8707472251323953,0.0,,0.8707472251323953
PCC,OBSEA,2021-01-11_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,7.949190139770508,,Status.OK,,1,"{'random_state': 42, 'svd_solver': 'auto'}",6f4f0a7ce802ffdcb5a6590625043544,0.5339113009586426,0.9007291334762536,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_02_18_12/results.csv,0.8707472251323953,0.0,,0.8707472251323953
HBOS,OBSEA,2021-01-11_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,12.679070234298706,,Status.OK,,3,"{'n_bins': 20, 'random_state': 42}",cf425e384a70a0bc760418d597d853dd,0.6274630814354049,0.8731489564969591,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_02_20_13/results.csv,0.8707472251323953,0.0,,0.8707472251323953
PCC,OBSEA,2021-01-03_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,7.250049591064453,,Status.OK,,2,"{'random_state': 42, 'svd_solver': 'auto'}",6f4f0a7ce802ffdcb5a6590625043544,0.3569856244384546,0.8986886300828778,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_12_44_08/results.csv,0.8631872760202063,0.0,,0.8631872760202063
