algorithm,collection,dataset,algo_training_type,algo_input_dimensionality,dataset_training_type,dataset_input_dimensionality,status,hyper_params_id,repetition,hyper_params,train_main_time,train_preprocess_time,train_postprocess_time,execute_main_time,execute_preprocess_time,execute_postprocess_time,ROC_AUC,RANGE_PR_AUC,BestF1Score,FalseNegativeRate,result_path,Recommendation_ACC
AutoEncoder (AE),OBSEA,2021-12-26,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,b98f98446ffdbf7f8a0cb80942138c22,2,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",19.06121253967285,,,10.242128133773804,,,,1.0,0.999995000025,0.0,../../../../TimeEval_work_results/best4avgens_2122/2024_04_14_23_46_31/results.csv,0.999995000025
DenoisingAutoEncoder (DAE),OBSEA,2021-12-27,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,bafd0b5bab66633b17924ba1c20b0398,2,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",17.35072922706604,,,12.390111207962036,,,,1.0,0.999995000025,0.0,../../../../TimeEval_work_results/best4avgens_2122/2024_04_14_23_46_49/results.csv,0.999995000025
DenoisingAutoEncoder (DAE),OBSEA,2021-12-26,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,bafd0b5bab66633b17924ba1c20b0398,2,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",19.90761685371399,,,10.871802568435667,,,,1.0,0.999995000025,0.0,../../../../TimeEval_work_results/best4avgens_2122/2024_04_14_23_46_49/results.csv,0.999995000025
AutoEncoder (AE),OBSEA,2021-12-27,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,dc234b17555e618106e747494bd37087,2,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",20.40770196914673,,,10.09203600883484,,,,1.0,0.999995000025,0.0,../../../../TimeEval_work_results/best4avgens_2122/2024_04_14_23_46_31/results.csv,0.999995000025
DenoisingAutoEncoder (DAE),OBSEA,2021-12-25,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,c8d37c7a26a5f51260539d3c90e37648,3,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'noise_ratio': 0.1, 'random_state': 42, 'split': 0.8}",16.955743551254272,,,13.939656496047974,,,,1.0,0.999995000025,0.0,../../../../TimeEval_work_results/best4avgens_2122/2024_04_14_23_46_49/results.csv,0.999995000025
AutoEncoder (AE),OBSEA,2021-12-28,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,dfdc9a9fdc00b09d9d188aaabfa8f91c,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",20.57152628898621,,,10.47562289237976,,,,1.0,0.999995000025,0.0,../../../../TimeEval_work_results/best4avgens_2122/2024_04_14_23_46_31/results.csv,0.999995000025
AutoEncoder (AE),OBSEA,2021-12-30,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,dc234b17555e618106e747494bd37087,3,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",19.80189156532288,,,10.376598596572876,,,,1.0,0.999995000025,0.0,../../../../TimeEval_work_results/best4avgens_2122/2024_04_14_23_46_31/results.csv,0.999995000025
AutoEncoder (AE),OBSEA,2021-12-25,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,dfdc9a9fdc00b09d9d188aaabfa8f91c,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",22.362579822540283,,,10.87585711479187,,,,1.0,0.999995000025,0.0,../../../../TimeEval_work_results/best4avgens_2122/2024_04_14_23_46_31/results.csv,0.999995000025
AutoEncoder (AE),OBSEA,2021-12-31,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,dfdc9a9fdc00b09d9d188aaabfa8f91c,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",20.25671625137329,,,10.232227563858032,,,,1.0,0.999995000025,0.0,../../../../TimeEval_work_results/best4avgens_2122/2024_04_14_23_46_31/results.csv,0.999995000025
AutoEncoder (AE),OBSEA,2021-12-29,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,dc234b17555e618106e747494bd37087,3,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",19.398218631744385,,,10.400179862976074,,,,1.0,0.999995000025,0.0,../../../../TimeEval_work_results/best4avgens_2122/2024_04_14_23_46_31/results.csv,0.999995000025
