,algorithm,collection,dataset,algo_training_type,algo_input_dimensionality,dataset_training_type,dataset_input_dimensionality,status,hyper_params_id,repetition,hyper_params,train_main_time,train_preprocess_time,train_postprocess_time,execute_main_time,execute_preprocess_time,execute_postprocess_time,ROC_AUC,BestF1Score,FalseNegativeRate,RANGE_PR_AUC,result_path,BestF1MinusFNR,Recommendation_ACC
25732,AutoEncoder (AE),OBSEA,2020-01-22,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,b98f98446ffdbf7f8a0cb80942138c22,3,{},21.31830620765686,,,9.711409091949465,,,,0.999995000025,0.0,1.0,../../../../TimeEval_work/results/training_data_MSAD_2020/2024_04_03_23_15_03/results.csv,,0.999995000025
3268,DenoisingAutoEncoder (DAE),OBSEA,2020-11-30,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,4612c4e06ea4131330882ffd0a43444a,8,{},16.769155025482178,,,9.64952301979065,,,,0.999995000025,0.0,1.0,../../../../TimeEval_work/results/training_data_MSAD_2020/2024_04_03_23_15_35/results.csv,,0.999995000025
3342,DenoisingAutoEncoder (DAE),OBSEA,2020-12-02,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,c8d37c7a26a5f51260539d3c90e37648,1,{},16.342811346054077,,,10.152211666107178,,,,0.999995000025,0.0,1.0,../../../../TimeEval_work/results/training_data_MSAD_2020/2024_04_03_23_15_35/results.csv,,0.999995000025
3097,DenoisingAutoEncoder (DAE),OBSEA,2020-11-27,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,4612c4e06ea4131330882ffd0a43444a,10,{},16.711899518966675,,,9.473063468933104,,,,0.999995000025,0.0,1.0000000000000002,../../../../TimeEval_work/results/training_data_MSAD_2020/2024_04_03_23_15_35/results.csv,,0.999995000025
3102,DenoisingAutoEncoder (DAE),OBSEA,2020-11-28,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,c8d37c7a26a5f51260539d3c90e37648,1,{},19.444869995117188,,,10.06928253173828,,,,0.999995000025,0.0,1.0,../../../../TimeEval_work/results/training_data_MSAD_2020/2024_04_03_23_15_35/results.csv,,0.999995000025
91695,LOF,OBSEA,2020-01-14_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,da57e09e2b4ad4d568a26dd67f170158,1,"{'distance_metric_order': 2, 'leaf_size': 20, 'n_jobs': 1, 'n_neighbors': 50, 'random_state': 42}",,,,8.976113557815552,,,,0.999995000025,0.0,1.0000000000000002,../../../../TimeEval_work/results/training_data_MSAD_2020/2024_04_13_01_18_17/results.csv,,0.999995000025
34303,AutoEncoder (AE),OBSEA,2020-12-05,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,dfdc9a9fdc00b09d9d188aaabfa8f91c,1,{},17.720191717147827,,,8.098657608032227,,,,0.999995000025,0.0,1.0,../../../../TimeEval_work/results/training_data_MSAD_2020/2024_04_05_21_07_24/results.csv,,0.999995000025
91681,LOF,OBSEA,2020-01-12_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,da57e09e2b4ad4d568a26dd67f170158,4,"{'distance_metric_order': 2, 'leaf_size': 20, 'n_jobs': 1, 'n_neighbors': 50, 'random_state': 42}",,,,10.889845848083496,,,,0.999995000025,0.0,1.0,../../../../TimeEval_work/results/training_data_MSAD_2020/2024_04_13_01_18_17/results.csv,,0.999995000025
91685,LOF,OBSEA,2020-01-13_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,da57e09e2b4ad4d568a26dd67f170158,1,"{'distance_metric_order': 2, 'leaf_size': 20, 'n_jobs': 1, 'n_neighbors': 50, 'random_state': 42}",,,,9.249179601669312,,,,0.999995000025,0.0,1.0,../../../../TimeEval_work/results/training_data_MSAD_2020/2024_04_13_01_18_17/results.csv,,0.999995000025
91705,LOF,OBSEA,2020-01-15_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,da57e09e2b4ad4d568a26dd67f170158,1,"{'distance_metric_order': 2, 'leaf_size': 20, 'n_jobs': 1, 'n_neighbors': 50, 'random_state': 42}",,,,9.22954249382019,,,,0.999995000025,0.0,1.0,../../../../TimeEval_work/results/training_data_MSAD_2020/2024_04_13_01_18_17/results.csv,,0.999995000025
26796,DenoisingAutoEncoder (DAE),OBSEA,2020-01-22,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,4612c4e06ea4131330882ffd0a43444a,10,{},16.827911615371704,,,9.024946689605711,,,,0.999995000025,0.0,1.0,../../../../TimeEval_work/results/training_data_MSAD_2020/2024_04_03_23_15_03/results.csv,,0.999995000025
3692,DenoisingAutoEncoder (DAE),OBSEA,2020-12-07,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,bafd0b5bab66633b17924ba1c20b0398,9,{},19.49047875404358,,,9.608034133911133,,,,0.999995000025,0.0,1.0,../../../../TimeEval_work/results/training_data_MSAD_2020/2024_04_03_23_15_35/results.csv,,0.999995000025
91655,LOF,OBSEA,2020-01-10_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,da57e09e2b4ad4d568a26dd67f170158,1,"{'distance_metric_order': 2, 'leaf_size': 20, 'n_jobs': 1, 'n_neighbors': 50, 'random_state': 42}",,,,10.281063556671144,,,,0.999995000025,0.0,1.0,../../../../TimeEval_work/results/training_data_MSAD_2020/2024_04_13_01_18_17/results.csv,,0.999995000025
91667,LOF,OBSEA,2020-01-11_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,da57e09e2b4ad4d568a26dd67f170158,2,"{'distance_metric_order': 2, 'leaf_size': 20, 'n_jobs': 1, 'n_neighbors': 50, 'random_state': 42}",,,,8.761152029037476,,,,0.999995000025,0.0,1.0,../../../../TimeEval_work/results/training_data_MSAD_2020/2024_04_13_01_18_17/results.csv,,0.999995000025
34338,AutoEncoder (AE),OBSEA,2020-12-07,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,b98f98446ffdbf7f8a0cb80942138c22,1,{},17.71661901473999,,,7.449870824813843,,,,0.999995000025,0.0,1.0,../../../../TimeEval_work/results/training_data_MSAD_2020/2024_04_05_21_07_24/results.csv,,0.999995000025
91773,LOF,OBSEA,2020-01-21_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,da57e09e2b4ad4d568a26dd67f170158,5,"{'distance_metric_order': 2, 'leaf_size': 20, 'n_jobs': 1, 'n_neighbors': 50, 'random_state': 42}",,,,9.202951908111572,,,,0.999995000025,0.0,1.0,../../../../TimeEval_work/results/training_data_MSAD_2020/2024_04_13_01_18_17/results.csv,,0.999995000025
91775,LOF,OBSEA,2020-01-22_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,da57e09e2b4ad4d568a26dd67f170158,1,"{'distance_metric_order': 2, 'leaf_size': 20, 'n_jobs': 1, 'n_neighbors': 50, 'random_state': 42}",,,,6.842106580734253,,,,0.999995000025,0.0,1.0,../../../../TimeEval_work/results/training_data_MSAD_2020/2024_04_13_01_18_17/results.csv,,0.999995000025
91729,LOF,OBSEA,2020-01-17_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,da57e09e2b4ad4d568a26dd67f170158,3,"{'distance_metric_order': 2, 'leaf_size': 20, 'n_jobs': 1, 'n_neighbors': 50, 'random_state': 42}",,,,9.18913745880127,,,,0.999995000025,0.0,1.0,../../../../TimeEval_work/results/training_data_MSAD_2020/2024_04_13_01_18_17/results.csv,,0.999995000025
