Algorithm,Accuracy
AutoEncoder (AE),0.5243740319570496
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0241361320447597
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0206183526431078
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0287090053301778
AutoEncoder (AE),0.0237875051188881
AutoEncoder (AE),0.2458833017220714
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.2173103460160043
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
