Algorithm,Accuracy
AutoEncoder (AE),0.67351975189172
AutoEncoder (AE),0.6823197382625144
AutoEncoder (AE),0.4355888004958079
AutoEncoder (AE),0.8501559922211993
AutoEncoder (AE),0.6225545007007685
AutoEncoder (AE),0.7010868125333645
AutoEncoder (AE),0.4912213008364278
AutoEncoder (AE),0.5800419041896694
AutoEncoder (AE),0.645551357921514
AutoEncoder (AE),0.3874852045427253
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0241361320447597
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.2173103460160043
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.2505258345554943
AutoEncoder (AE),0.1968461534734644
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.6979081983823118
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.2471271908626956
AutoEncoder (AE),0.0
AutoEncoder (AE),0.1371181354802906
AutoEncoder (AE),0.240542751901463
AutoEncoder (AE),0.39468232866242
AutoEncoder (AE),0.3901589612694006
AutoEncoder (AE),0.101429180162381
AutoEncoder (AE),0.0
AutoEncoder (AE),0.5743438666443669
AutoEncoder (AE),0.1401777299042975
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.2543190174419128
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0610357131441762
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0877184595340272
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0190956350932725
AutoEncoder (AE),0.1720630658393711
