Algorithm,Accuracy
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.1862695715104188
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.1284995417372277
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.1940097021309695
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0275129561685169
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.4205666099374498
AutoEncoder (AE),0.4434334806053251
AutoEncoder (AE),0.5583105086468796
AutoEncoder (AE),0.3790193504567327
AutoEncoder (AE),0.614577583101813
AutoEncoder (AE),0.0
AutoEncoder (AE),0.2664493684057062
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.3020068922405395
AutoEncoder (AE),0.0455456443190742
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0931098056035122
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0754855358717291
AutoEncoder (AE),0.2359108103020201
AutoEncoder (AE),0.0446937801727659
AutoEncoder (AE),0.2073005614252578
AutoEncoder (AE),0.0
AutoEncoder (AE),0.2251492138924934
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.999995000025
AutoEncoder (AE),0.999995000025
AutoEncoder (AE),0.999995000025
AutoEncoder (AE),0.999995000025
AutoEncoder (AE),0.999995000025
AutoEncoder (AE),0.999995000025
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0147057363768815
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.999995000025
AutoEncoder (AE),0.3556999115236059
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0057179416845139
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0438351876941916
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.836593800464259
AutoEncoder (AE),0.6576511441731642
AutoEncoder (AE),0.6900690375928734
AutoEncoder (AE),0.8018673787753042
AutoEncoder (AE),0.5950304141238738
AutoEncoder (AE),0.3735776169693813
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0215586590424524
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.6093632183339719
AutoEncoder (AE),0.0
AutoEncoder (AE),0.6332338420816102
AutoEncoder (AE),0.7213787954085796
AutoEncoder (AE),0.0
AutoEncoder (AE),0.5243740319570496
AutoEncoder (AE),0.67351975189172
AutoEncoder (AE),0.8631872760202063
AutoEncoder (AE),0.6996684552105443
AutoEncoder (AE),0.6823197382625144
AutoEncoder (AE),0.4776164062565373
AutoEncoder (AE),0.4355888004958079
AutoEncoder (AE),0.5825325868936803
AutoEncoder (AE),0.8501559922211993
AutoEncoder (AE),0.9499076508925608
AutoEncoder (AE),0.8708292013154582
AutoEncoder (AE),0.6225545007007685
AutoEncoder (AE),0.7010868125333645
AutoEncoder (AE),0.4288018686596242
AutoEncoder (AE),0.5800419041896694
AutoEncoder (AE),0.1367179366282788
AutoEncoder (AE),0.7284858374470715
AutoEncoder (AE),0.356323315363536
AutoEncoder (AE),0.7808616151796564
AutoEncoder (AE),0.645551357921514
AutoEncoder (AE),0.6979081983823118
AutoEncoder (AE),0.3874852045427253
AutoEncoder (AE),0.5720870928426238
AutoEncoder (AE),0.0112900101751741
AutoEncoder (AE),0.6818206244723376
AutoEncoder (AE),0.0
AutoEncoder (AE),0.4912213008364278
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0268854703830741
AutoEncoder (AE),0.0087929682248111
AutoEncoder (AE),0.0
AutoEncoder (AE),0.1042982782694307
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0023706979095056
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0963253194054153
AutoEncoder (AE),0.2648250108425199
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0606054729166262
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.044068043860633
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0186664817440541
AutoEncoder (AE),0.0007358278173503
AutoEncoder (AE),0.2043239777548394
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0344926752231062
AutoEncoder (AE),0.0247469615530925
AutoEncoder (AE),0.0787353223794076
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0415447628121713
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.2695418952231189
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0180358934118378
AutoEncoder (AE),0.0121510540601822
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0833085565643682
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0
AutoEncoder (AE),0.0344154264084792
COPOD,0.0
COPOD,0.0
COPOD,0.0
COPOD,0.0
COPOD,0.0
COPOD,0.0
COPOD,0.0
COPOD,0.0
COPOD,0.5607326748952354
COPOD,0.0
