Algorithm,Accuracy
DeepAnT,0.3347913802769607
DeepAnT,0.0465420986014438
DeepAnT,0.148024945097959
DeepAnT,0.0
DeepAnT,0.0
DeepAnT,0.0999509966212382
DeepAnT,0.0
DeepAnT,0.0
DeepAnT,0.0
DeepAnT,0.0
DeepAnT,0.2625565748867334
DeepAnT,0.0015756785629312
DeepAnT,0.0
DeepAnT,0.1180559573039957
DeepAnT,0.1761867607562611
DeepAnT,0.3823916066859639
DeepAnT,0.4929630064546152
DeepAnT,0.0
DeepAnT,0.0
DeepAnT,0.0506382703299501
DeepAnT,0.0
DeepAnT,0.0
DeepAnT,0.1272143068953222
DeepAnT,0.0835237521909381
DeepAnT,0.0
DeepAnT,0.0
DeepAnT,0.5966813006457621
DeepAnT,0.0314770975278402
DenoisingAutoEncoder (DAE),0.0
DenoisingAutoEncoder (DAE),0.0
DenoisingAutoEncoder (DAE),0.0
DenoisingAutoEncoder (DAE),0.2060857226636008
DenoisingAutoEncoder (DAE),0.0
DenoisingAutoEncoder (DAE),0.0
DenoisingAutoEncoder (DAE),0.0
DenoisingAutoEncoder (DAE),0.4528976427446851
DenoisingAutoEncoder (DAE),0.0759323454385043
DenoisingAutoEncoder (DAE),0.0
DenoisingAutoEncoder (DAE),0.2389874982007602
DenoisingAutoEncoder (DAE),0.0
DenoisingAutoEncoder (DAE),0.0
DenoisingAutoEncoder (DAE),0.0
DenoisingAutoEncoder (DAE),0.0
DenoisingAutoEncoder (DAE),0.160288411542918
DenoisingAutoEncoder (DAE),0.0
DenoisingAutoEncoder (DAE),0.0
DenoisingAutoEncoder (DAE),0.0
DenoisingAutoEncoder (DAE),0.0
DenoisingAutoEncoder (DAE),0.0
DenoisingAutoEncoder (DAE),0.2149100765114509
DenoisingAutoEncoder (DAE),0.0
DenoisingAutoEncoder (DAE),0.0
DenoisingAutoEncoder (DAE),0.0
DenoisingAutoEncoder (DAE),0.0
DenoisingAutoEncoder (DAE),0.0
DenoisingAutoEncoder (DAE),0.0
DenoisingAutoEncoder (DAE),0.0
DenoisingAutoEncoder (DAE),0.2699532660050184
DenoisingAutoEncoder (DAE),0.0
DenoisingAutoEncoder (DAE),0.0467999225003691
HBOS,0.0
HBOS,0.0551233363212134
HBOS,0.0
HBOS,0.3329049382284036
HBOS,0.0
HBOS,0.1240061094120542
HBOS,0.0287489095830092
HBOS,0.0
HBOS,0.0178708407594608
HBOS,0.089985122219298
HBOS,0.3573769014389391
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.0
HBOS,0.1148292534083207
HBOS,0.0609337355645949
HBOS,0.2654062506424356
HBOS,0.0
HBOS,0.0
HBOS,0.0400180647034751
HBOS,0.0
HBOS,0.1101137709615037
Hybrid KNN,0.1232710898291921
Hybrid KNN,0.0301421343900741
Random Black Forest (RR),0.0644617929048419
Random Black Forest (RR),0.0
Random Black Forest (RR),0.0
Random Black Forest (RR),0.0
Random Black Forest (RR),0.0
Random Black Forest (RR),0.0
Random Black Forest (RR),0.0
Random Black Forest (RR),0.0
Random Black Forest (RR),0.0
Random Black Forest (RR),0.0
Random Black Forest (RR),0.0
Random Black Forest (RR),0.0
Random Black Forest (RR),0.0
Random Black Forest (RR),0.0
Random Black Forest (RR),0.0
Random Black Forest (RR),0.0
Random Black Forest (RR),0.0064615701851823
Random Black Forest (RR),0.1069091978885644
Random Black Forest (RR),0.0
Random Black Forest (RR),0.2434741442207312
Random Black Forest (RR),0.4741690646031239
Random Black Forest (RR),0.0247886971437401
Random Black Forest (RR),0.0
Random Black Forest (RR),0.0
Random Black Forest (RR),0.2756332167597974
Random Black Forest (RR),0.0
RobustPCA,0.0
RobustPCA,0.1772135747623565
RobustPCA,0.2775911834932381
RobustPCA,0.0
RobustPCA,0.0
RobustPCA,0.0
RobustPCA,0.0875075132464581
RobustPCA,0.5171992731507828
RobustPCA,0.0181369124441957
RobustPCA,0.0106730303457506
RobustPCA,0.0
RobustPCA,0.1052968701322008
RobustPCA,0.1561496337303212
RobustPCA,0.1923266308098107
RobustPCA,0.1628791359296648
RobustPCA,0.0
RobustPCA,0.3901589612694006
RobustPCA,0.0
RobustPCA,0.0206372642273964
RobustPCA,0.0
RobustPCA,0.1164783446499006
RobustPCA,0.1073785006341628
RobustPCA,0.0
RobustPCA,0.0
RobustPCA,0.0816782469700344
RobustPCA,0.1096746357403162
RobustPCA,0.0
RobustPCA,0.0
RobustPCA,0.3981784745366607
RobustPCA,0.0
RobustPCA,0.0
RobustPCA,0.0
RobustPCA,0.0170897583589489
RobustPCA,0.0997312294380062
RobustPCA,0.0
RobustPCA,0.0
RobustPCA,0.0
RobustPCA,0.0047656395103794
RobustPCA,0.0
RobustPCA,0.4635473831427583
RobustPCA,0.029173347064976
RobustPCA,0.0
RobustPCA,0.0832697078451925
RobustPCA,0.3683385136871163
RobustPCA,0.5702356155262944
RobustPCA,0.0
RobustPCA,0.0
RobustPCA,0.0
RobustPCA,0.0
RobustPCA,0.0
RobustPCA,0.0
RobustPCA,0.0
RobustPCA,0.0
RobustPCA,0.235374551978358
RobustPCA,0.0
RobustPCA,0.0254983888240797
RobustPCA,0.0
RobustPCA,0.0686482842523959
RobustPCA,0.0
RobustPCA,0.0821638877165858
RobustPCA,0.3416314084959863
RobustPCA,0.0857134653139748
RobustPCA,0.0
RobustPCA,0.0551979509673728
RobustPCA,0.0
RobustPCA,0.0819040623973468
RobustPCA,0.1558776468517515
RobustPCA,0.0
RobustPCA,0.0
RobustPCA,0.0
RobustPCA,0.4813615253562152
RobustPCA,0.0
RobustPCA,0.0
RobustPCA,0.0
RobustPCA,0.0
RobustPCA,0.0354267338939285
RobustPCA,0.3193157171869036
RobustPCA,0.0
RobustPCA,0.2000992614220883
RobustPCA,0.0206585812705769
AVG_ENS,0.1242224374168913
AVG_ENS,0.0
AVG_ENS,0.1504560880907774
AVG_ENS,0.0
AVG_ENS,0.0
AVG_ENS,0.0
AVG_ENS,0.0
AVG_ENS,0.0
AVG_ENS,0.0
AVG_ENS,0.0
AVG_ENS,0.4446323407022607
AVG_ENS,0.3482814304580791
AVG_ENS,0.0
AVG_ENS,0.1297848808679816
AVG_ENS,0.0
AVG_ENS,0.0
AVG_ENS,0.0
AVG_ENS,0.2696679412225671
AVG_ENS,0.0
AVG_ENS,0.1193821373516644
AVG_ENS,0.587329496457554
AVG_ENS,0.0
AVG_ENS,0.0
AVG_ENS,0.1107042994328807
AVG_ENS,0.0278260036301348
AVG_ENS,0.3753568503094139
AVG_ENS,0.0
AVG_ENS,0.0
