algorithm,collection,dataset,algo_training_type,algo_input_dimensionality,dataset_training_type,dataset_input_dimensionality,status,hyper_params_id,repetition,hyper_params,train_main_time,train_preprocess_time,train_postprocess_time,execute_main_time,execute_preprocess_time,execute_postprocess_time,ROC_AUC,RANGE_PR_AUC,BestF1Score,FalseNegativeRate,PR_AUC,result_path,BestF1MinusFNR
HBOS,OBSEA,2020-01-10_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,5,"{'n_bins': 20, 'random_state': 42}",,,,9.88019871711731,,,,1.0,0.999995000025,0.0,1.0000000000000002,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_18_05/results.csv,
HBOS,OBSEA,2020-12-05_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,1,"{'n_bins': 20, 'random_state': 42}",,,,10.38175654411316,,,,1.0000000000000002,0.999995000025,0.0,1.0000000000000002,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_18_05/results.csv,
AutoEncoder (AE),OBSEA,2020-01-11,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,dfdc9a9fdc00b09d9d188aaabfa8f91c,2,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",18.296608448028564,,,7.5957605838775635,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_12_13_11_56/results.csv,
RobustPCA,OBSEA,2020-01-18,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,4293618dd12c59117ac7a434fda4220a,4,{'random_state': 42},139.51823353767395,,,7.660984039306641,,,,1.0000000000000002,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_11_07_14_03/results.csv,
AutoEncoder (AE),OBSEA,2020-01-12,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,dc234b17555e618106e747494bd37087,2,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 41, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",18.551082849502563,,,8.935786724090576,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_12_13_11_56/results.csv,
AutoEncoder (AE),OBSEA,2020-01-10,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,dfdc9a9fdc00b09d9d188aaabfa8f91c,5,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",18.478748083114624,,,7.503186464309692,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_12_13_11_56/results.csv,
LOF,OBSEA,2020-01-21_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,da57e09e2b4ad4d568a26dd67f170158,3,"{'distance_metric_order': 2, 'leaf_size': 20, 'n_jobs': 1, 'n_neighbors': 50, 'random_state': 42}",,,,8.817552089691162,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_18_17/results.csv,
LOF,OBSEA,2020-01-19_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,da57e09e2b4ad4d568a26dd67f170158,5,"{'distance_metric_order': 2, 'leaf_size': 20, 'n_jobs': 1, 'n_neighbors': 50, 'random_state': 42}",,,,8.974191427230835,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_13_01_18_17/results.csv,
AutoEncoder (AE),OBSEA,2020-01-14,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,b98f98446ffdbf7f8a0cb80942138c22,3,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",17.524645805358887,,,10.08872389793396,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_12_13_11_56/results.csv,
AutoEncoder (AE),OBSEA,2020-01-15,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,b98f98446ffdbf7f8a0cb80942138c22,4,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",17.123667001724243,,,8.264912366867065,,,,1.0,0.999995000025,0.0,1.0,../../../../TimeEval_work_results/training_data_MSAD_2020/2024_04_12_13_11_56/results.csv,
