algorithm,collection,dataset,algo_training_type,algo_input_dimensionality,dataset_training_type,dataset_input_dimensionality,status,hyper_params_id,repetition,hyper_params,execute_main_time,execute_preprocess_time,execute_postprocess_time,ROC_AUC,BestF1Score,FalseNegativeRate,result_path,RANGE_PR_AUC,train_main_time,train_preprocess_time,train_postprocess_time,error_message,Recommendation_ACC
HBOS,OBSEA,2021-12-30_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,2,"{'n_bins': 20, 'random_state': 42}",14.913633108139038,,,,0.999995000025,0.0,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_09_35_23/results.csv,1.0,,,,,0.999995000025
AutoEncoder (AE),OBSEA,2021-12-30,semi-supervised,multivariate,multivariate,semi-supervised,Status.OK,b98f98446ffdbf7f8a0cb80942138c22,2,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 22, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",10.839214086532593,,,,0.999995000025,0.0,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_20_05_55_53/results.csv,1.0,25.07722759246826,,,,0.999995000025
PCC,OBSEA,2021-12-28_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,6f4f0a7ce802ffdcb5a6590625043544,3,"{'random_state': 42, 'svd_solver': 'auto'}",9.958696126937866,,,,0.999995000025,0.0,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_14_53_31/results.csv,1.0,,,,,0.999995000025
HBOS,OBSEA,2021-12-26_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,1,"{'n_bins': 20, 'random_state': 42}",18.237134218215942,,,,0.999995000025,0.0,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_11_41_53/results.csv,1.0,,,,,0.999995000025
HBOS,OBSEA,2021-12-28_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,1,"{'n_bins': 20, 'random_state': 42}",12.48787760734558,,,,0.999995000025,0.0,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_20_05_49_53/results.csv,1.0,,,,,0.999995000025
PCC,OBSEA,2021-12-27_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,6f4f0a7ce802ffdcb5a6590625043544,1,"{'random_state': 42, 'svd_solver': 'auto'}",7.5903403759002686,,,,0.999995000025,0.0,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_20_04_13_37/results.csv,1.0,,,,,0.999995000025
PCC,OBSEA,2021-12-26_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,6f4f0a7ce802ffdcb5a6590625043544,1,"{'random_state': 42, 'svd_solver': 'auto'}",10.752958297729492,,,,0.999995000025,0.0,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_23_54_21/results.csv,1.0000000000000002,,,,,0.999995000025
PCC,OBSEA,2021-12-29_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,6f4f0a7ce802ffdcb5a6590625043544,1,"{'random_state': 42, 'svd_solver': 'auto'}",7.122995138168335,,,,0.999995000025,0.0,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_05_29_43/results.csv,1.0000000000000002,,,,,0.999995000025
PCC,OBSEA,2021-12-30_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,6f4f0a7ce802ffdcb5a6590625043544,1,"{'random_state': 42, 'svd_solver': 'auto'}",8.768526554107666,,,,0.999995000025,0.0,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_09_34_23/results.csv,1.0000000000000002,,,,,0.999995000025
HBOS,OBSEA,2021-12-29_unsupervised,unsupervised,multivariate,multivariate,unsupervised,Status.OK,cf425e384a70a0bc760418d597d853dd,1,"{'n_bins': 20, 'random_state': 42}",14.840832233428957,,,,0.999995000025,0.0,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_20_03_28_27/results.csv,1.0,,,,,0.999995000025
