algorithm,collection,dataset,algo_training_type,algo_input_dimensionality,dataset_training_type,dataset_input_dimensionality,train_preprocess_time,train_main_time,execute_preprocess_time,execute_main_time,execute_postprocess_time,status,error_message,repetition,hyper_params,hyper_params_id,ROC_AUC,RANGE_PR_AUC,result_path,BestF1Score,FalseNegativeRate,train_postprocess_time,Recommendation_ACC
HBOS,OBSEA,2021-12-29_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,19.635432958602905,,Status.OK,,3,"{'n_bins': 20, 'random_state': 42}",cf425e384a70a0bc760418d597d853dd,,1.0,../../../../TimeEval_work_results/MSAD_trained20_inferredtrained1H21_infer2H21/2024_04_20_18_27_38/results.csv,0.999995000025,0.0,,0.999995000025
PCC,OBSEA,2021-12-27_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,7.269940376281738,,Status.OK,,1,"{'random_state': 42, 'svd_solver': 'auto'}",6f4f0a7ce802ffdcb5a6590625043544,,1.0,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_04_52_37/results.csv,0.999995000025,0.0,,0.999995000025
PCC,OBSEA,2021-12-25_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,11.02310848236084,,Status.OK,,1,"{'random_state': 42, 'svd_solver': 'auto'}",6f4f0a7ce802ffdcb5a6590625043544,,1.0,../../../../TimeEval_work_results/MSAD_trained20_inferredtrained1H21_infer2H21/2024_04_20_21_28_25/results.csv,0.999995000025,0.0,,0.999995000025
HBOS,OBSEA,2021-12-28_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,14.695459365844728,,Status.OK,,2,"{'n_bins': 20, 'random_state': 42}",cf425e384a70a0bc760418d597d853dd,,1.0,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_14_54_31/results.csv,0.999995000025,0.0,,0.999995000025
HBOS,OBSEA,2021-12-31_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,14.58012580871582,,Status.OK,,1,"{'n_bins': 20, 'random_state': 42}",cf425e384a70a0bc760418d597d853dd,,1.0,../../../../TimeEval_work_results/MSAD_trained20_inferredtrained1H21_infer2H21/2024_04_21_01_29_26/results.csv,0.999995000025,0.0,,0.999995000025
HBOS,OBSEA,2021-12-30_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,12.097354888916016,,Status.OK,,1,"{'n_bins': 20, 'random_state': 42}",cf425e384a70a0bc760418d597d853dd,,1.0,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_20_04_54_29/results.csv,0.999995000025,0.0,,0.999995000025
PCC,OBSEA,2021-12-31_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,13.432639598846436,,Status.OK,,1,"{'random_state': 42, 'svd_solver': 'auto'}",6f4f0a7ce802ffdcb5a6590625043544,,1.0,../../../../TimeEval_work_results/MSAD_trained20_inferredtrained1H21_infer2H21/2024_04_20_14_43_13/results.csv,0.999995000025,0.0,,0.999995000025
AutoEncoder (AE),OBSEA,2021-12-30,semi-supervised,multivariate,multivariate,semi-supervised,,24.92372226715088,,10.458609580993652,,Status.OK,,1,"{'early_stopping_delta': 0.05, 'early_stopping_patience': 10, 'epochs': 500, 'latent_size': 32, 'learning_rate': 0.001, 'random_state': 42, 'split': 0.8}",dfdc9a9fdc00b09d9d188aaabfa8f91c,,1.0,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_09_37_23/results.csv,0.999995000025,0.0,,0.999995000025
PCC,OBSEA,2021-12-30_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,8.054610252380371,,Status.OK,,2,"{'random_state': 42, 'svd_solver': 'auto'}",6f4f0a7ce802ffdcb5a6590625043544,,1.0000000000000002,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_20_05_52_52/results.csv,0.999995000025,0.0,,0.999995000025
PCC,OBSEA,2021-12-28_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,14.41080641746521,,Status.OK,,1,"{'random_state': 42, 'svd_solver': 'auto'}",6f4f0a7ce802ffdcb5a6590625043544,,1.0,../../../../TimeEval_work_results/MSAD_trained20_inferredtrained1H21_infer2H21/2024_04_20_14_37_38/results.csv,0.999995000025,0.0,,0.999995000025
HBOS,OBSEA,2021-12-27_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,14.041460275650024,,Status.OK,,3,"{'n_bins': 20, 'random_state': 42}",cf425e384a70a0bc760418d597d853dd,,1.0,../../../../TimeEval_work_results/MSAD_trained20_inferredtrained1H21_infer2H21/2024_04_20_21_32_28/results.csv,0.999995000025,0.0,,0.999995000025
PCC,OBSEA,2021-12-29_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,6.951066970825195,,Status.OK,,1,"{'random_state': 42, 'svd_solver': 'auto'}",6f4f0a7ce802ffdcb5a6590625043544,,1.0000000000000002,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_15_14_49/results.csv,0.999995000025,0.0,,0.999995000025
HBOS,OBSEA,2021-12-25_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,18.799809455871586,,Status.OK,,3,"{'n_bins': 20, 'random_state': 42}",cf425e384a70a0bc760418d597d853dd,,1.0000000000000002,../../../../TimeEval_work_results/MSAD_trained20_inferredtrained1H21_infer2H21/2024_04_20_21_30_26/results.csv,0.999995000025,0.0,,0.999995000025
HBOS,OBSEA,2021-12-26_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,16.790526866912842,,Status.OK,,3,"{'n_bins': 20, 'random_state': 42}",cf425e384a70a0bc760418d597d853dd,,1.0,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_23_53_21/results.csv,0.999995000025,0.0,,0.999995000025
PCC,OBSEA,2021-12-26_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,12.41653561592102,,Status.OK,,2,"{'random_state': 42, 'svd_solver': 'auto'}",6f4f0a7ce802ffdcb5a6590625043544,,1.0000000000000002,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_11_42_54/results.csv,0.999995000025,0.0,,0.999995000025
HBOS,OBSEA,2021-12-24_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,10.350629091262816,,Status.OK,,1,"{'n_bins': 20, 'random_state': 42}",cf425e384a70a0bc760418d597d853dd,0.9884374168261514,0.9815528380644342,../../../../TimeEval_work_results/MSAD_trained20_inferredtrained1H21_infer2H21/2024_04_20_21_20_21/results.csv,0.9905392324538004,0.0187343880099916,,0.9718048444438088
PCC,OBSEA,2021-12-24_unsupervised,unsupervised,multivariate,multivariate,unsupervised,,,,7.187177658081055,,Status.OK,,2,"{'random_state': 42, 'svd_solver': 'auto'}",6f4f0a7ce802ffdcb5a6590625043544,0.9865043464634446,0.964757106072748,../../../../TimeEval_work_results/MSAD_trained20_infer2122/2024_04_19_05_28_42/results.csv,0.9844357070107144,0.0253955037468776,,0.9590402032638368
