,label,val_0,val_1,val_2,val_3,val_4,val_5,val_6,val_7,val_8,val_9,val_10,val_11,val_12,val_13,val_14,val_15,val_16,val_17,val_18,val_19,val_20,val_21,val_22,val_23,val_24,val_25,val_26,val_27,val_28,val_29,val_30,val_31,val_32,val_33,val_34,val_35,val_36,val_37,val_38,val_39,val_40,val_41,val_42,val_43,val_44,val_45,val_46,val_47,val_48,val_49,val_50,val_51,val_52,val_53,val_54,val_55,val_56,val_57,val_58,val_59,val_60,val_61,val_62,val_63,val_64,val_65,val_66,val_67,val_68,val_69,val_70,val_71,val_72,val_73,val_74,val_75,val_76,val_77,val_78,val_79,val_80,val_81,val_82,val_83,val_84,val_85,val_86,val_87,val_88,val_89,val_90,val_91,val_92,val_93,val_94,val_95,val_96,val_97,val_98,val_99,val_100,val_101,val_102,val_103,val_104,val_105,val_106,val_107,val_108,val_109,val_110,val_111,val_112,val_113,val_114,val_115,val_116,val_117,val_118,val_119,val_120,val_121,val_122,val_123,val_124,val_125,val_126,val_127
2020-03-18.out.0,0.0,1.7532838,1.7532838,1.7476276,1.7465857,1.7342145,1.7401632,1.7404388,1.7523193,1.7651644,1.7532838,1.7410672,1.734843,1.7597064,1.7408521,1.7410672,1.7409899,1.7471369,1.7287733,1.7475502,1.7291867,1.729264,1.7414033,1.7599215,1.7355319,1.741894,1.8080553,1.8017101,1.7588796,1.7474124,1.7412655,1.7417562,1.7294623,1.7711736,1.7581907,1.7775356,1.7414033,1.7233153,1.7417562,1.7417562,1.7363586,1.7789135,1.7783624,1.9075159,1.9491499,1.9496406,1.9135082,1.9184924,1.9251132,1.8892733,1.8773323,1.8539845,1.8482509,1.8363704,1.7816762,1.7817367,1.7880214,1.7761409,1.7819518,1.7883743,1.7885121,1.8126866,1.800806,1.7827785,1.8075646,1.7890028,1.7892011,1.8143401,1.8267113,1.8209004,1.8086838,1.8084082,1.8086065,1.7901656,1.7902429,1.8086065,1.8086838,1.8086065,1.8088216,1.8154424,1.8215289,1.8154424,1.8151668,1.8148308,1.8271247,1.8274607,1.79763,1.8152441,1.821176,1.839143,1.8154424,1.808882,1.8331943,1.8573688,1.876223,1.8753963,1.868836,1.8675185,1.8747847,1.8753963,1.8573688,1.8365855,1.8736655,1.8735277,1.8734673,1.8803032,1.8871391,1.8811299,1.8489399,1.8740789,1.8675959,1.8684999,1.8438348,1.8554397,1.8614489,1.8610355,1.8608204,1.8666918,1.8851327,1.9209726,1.8845815,1.9027468,1.9144896,1.9144123,1.9184151,1.9436314,1.9385867,1.9327154,1.926155
2020-03-18.out.1,0.0,1.7890028,1.7892011,1.8143401,1.8267113,1.8209004,1.8086838,1.8084082,1.8086065,1.7901656,1.7902429,1.8086065,1.8086838,1.8086065,1.8088216,1.8154424,1.8215289,1.8154424,1.8151668,1.8148308,1.8271247,1.8274607,1.79763,1.8152441,1.821176,1.839143,1.8154424,1.808882,1.8331943,1.8573688,1.876223,1.8753963,1.868836,1.8675185,1.8747847,1.8753963,1.8573688,1.8365855,1.8736655,1.8735277,1.8734673,1.8803032,1.8871391,1.8811299,1.8489399,1.8740789,1.8675959,1.8684999,1.8438348,1.8554397,1.8614489,1.8610355,1.8608204,1.8666918,1.8851327,1.9209726,1.8845815,1.9027468,1.9144896,1.9144123,1.9184151,1.9436314,1.9385867,1.9327154,1.926155,1.9124832,1.9192418,1.9311997,1.9258021,1.9311224,1.9253888,1.9008009,1.9316131,1.9015067,1.8771172,1.8718743,1.8542601,1.8612338,1.8487416,1.8371971,1.8498439,1.8368611,1.8310501,1.8369989,1.8187562,1.8367837,1.8121959,1.8249032,1.8249805,1.8249032,1.8249032,1.8186184,1.8249805,1.8005909,1.8245672,1.8372744,1.8371971,1.8187562,1.8377483,1.8371971,1.8372744,1.8313257,1.8372744,1.8557153,1.8620605,1.8618623,1.8624739,1.8621379,1.8803032,1.8803636,1.8927953,1.8436196,1.8559909,1.8745696,1.8684226,1.8441103,1.8503951,1.838239,1.8441103,1.8502573,1.8686982,1.8807165,1.8625512,1.8805787,1.8621379,1.8559909,1.8621379,1.8563269,1.8625512
2020-03-18.out.2,0.0,1.8684999,1.8682848,1.8561287,1.8624134,1.8744318,1.8684226,1.8809921,1.8809921,1.8934238,1.8932087,1.8625512,1.8807165,1.8809316,1.8812072,1.8748451,1.862689,1.8745696,1.856542,1.8372744,1.8495684,1.8599164,1.8476224,1.859167,1.8541828,1.8550868,1.8733295,1.8614489,1.8740789,1.8679319,1.8495684,1.8620001,1.8498439,1.8374727,1.8130226,1.83755,1.8376878,1.8249805,1.8679319,1.8557153,1.8252561,1.8438348,1.8557153,1.8564043,1.8260055,1.8381012,1.8195225,1.8256695,1.8133755,1.8196603,1.8132982,1.825945,1.8379634,1.825945,1.8381012,1.8256695,1.8253939,1.8296723,1.7931265,1.767712,1.7550047,1.7734456,1.8050844,1.8230346,1.7931265,1.7935399,1.7933417,1.7933417,1.7817367,1.7514153,1.7518286,1.752242,1.7576395,1.7887877,1.8133755,1.8010043,1.8071512,1.7945213,1.8129622,1.8010043,1.7827785,1.7709753,1.7465857,1.7584663,1.7463875,1.7711736,1.7951498,1.7827785,1.764415,1.7586041,1.7527327,1.7713718,1.7834675,1.7711736,1.7773205,1.7773205,1.7713887,1.7651644,1.7713887,1.7713887,1.7526722,1.7590174,1.7594308,1.7715869,1.7770449,1.7651644,1.76544,1.7650266,1.7530687,1.7530856,1.7230397,1.710608,1.7045989,1.6923654,1.7291094,1.7227642,1.7287733,1.722549,1.7530856,1.7656551,1.7353336,1.7534989,1.7409899,1.7291867,1.7414033,1.7350581,1.7043233,1.7230397,1.6925032
2020-03-18.out.3,0.0,1.7111592,1.631326,1.6438182,1.6376712,1.631326,1.6073498,1.6376712,1.6438182,1.6192304,1.6194286,1.6316621,1.6376712,1.6196437,1.6379468,1.637809,1.6316016,1.6316621,1.6194455,1.6193681,1.6132212,1.6074876,1.6077632,1.6011255,1.5951937,1.6016162,1.5946425,1.5947803,1.5947803,1.6007895,1.5520272,1.5581741,1.5155588,1.5274393,1.5335863,1.5094118,1.5218435,1.4975313,1.5221964,1.5038933,1.4433109,1.4311548,1.4373791,1.4248701,1.4435261,1.4435261,1.4559578,1.4316455,1.3949015,1.4189382,1.4619669,1.4439394,1.4311548,1.4188004,1.4132046,1.3277757,1.3222403,1.3525618,1.3586314,1.376874,1.3464148,1.376538,1.376538,1.3582954,1.3766589,1.413618,1.4010485,1.3890302,1.4193516,1.4012467,1.407471,1.3947637,1.4132046,1.4013241,1.3947637,1.3950998,1.3951771,1.407471,1.4133424,1.3949015,1.4196876,1.4071955,1.4256363,1.419765,1.4194894,1.4135407,1.4377925,1.4256363,1.4250852,1.4131273,1.4193516,1.419076,1.4192743,1.4253003,1.4436638,1.4254212,1.4250852,1.4435261,1.4254212,1.4131273,1.4129291,1.4378698,1.4193516,1.4010485,1.4320589,1.407471,1.3951771,1.4256363,1.3949015,1.3949789,1.3948411,1.407471,1.4014619,1.4015392,1.3953149,1.4012467,1.3893057,1.4078844,1.3890302,1.4133424,1.3953922,1.376874,1.3828832,1.3894435,1.402013,1.3955905,1.383021,1.3829605,1.3772874
2020-03-18.out.4,0.0,1.3710026,1.4019526,1.3649935,1.3953922,1.377563,1.3648557,1.3838477,1.3542926,1.3046262,1.3228688,1.3169974,1.3289384,1.3531902,1.3597506,1.3654068,1.3654068,1.3347494,1.3654068,1.340819,1.3472415,1.3413097,1.3287402,1.3477322,1.3477322,1.34787,1.3413097,1.329214,1.3415853,1.3354383,1.3047035,1.3419213,1.3298425,1.3235578,1.3239711,1.3173335,1.3178242,1.3174108,1.3358517,1.3171352,1.2929607,1.3175486,1.3179619,1.3358517,1.3358517,1.3358517,1.299185,1.3359895,1.3415853,1.3297047,1.3301181,1.3358517,1.3116772,1.3055302,1.3051169,1.3112638,1.3176259,1.293159,1.311815,1.311479,1.2809424,1.2995211,1.3003478,1.2933741,1.2999344,1.2995211,1.2868911,1.2872272,1.2875027,1.2995984,1.2630527,1.2693979,1.2688636,1.2691996,1.2942782,1.2876405,1.2687863,1.2690618,1.2810802,1.2690618,1.2691996,1.2691996,1.2689845,1.2630527,1.27576,1.2635434,1.2573191,1.263466,1.2819069,1.2698886,1.2696903,1.2578098,1.2452403,1.2511721,1.2581458,1.27576,1.2942782,1.3126417,1.3372296,1.3184526,1.3311599,1.3184526,1.3123057,1.3311599,1.331496,1.3434538,1.3556704,1.3432387,1.3311599,1.3133307,1.319202,1.3563594,1.3499368,1.3372296,1.3560838,1.3380563,1.3071837,1.3131324,1.3133307,1.3323227,1.3319093,1.2888806,1.3073988,1.3135458,1.3073988,1.3075366,1.3200288,1.3138818,1.3016652
2020-03-18.out.5,0.0,1.3015879,1.3071837,1.3128568,1.3499368,1.355946,1.3624459,1.3440655,1.3499368,1.3442806,1.3259775,1.3506427,1.3627215,1.3381336,1.3194776,1.3560838,1.3803356,1.3868959,1.381085,1.3868959,1.3868959,1.3500142,1.368455,1.3923539,1.3804734,1.3803356,1.3991898,1.3750154,1.3928446,1.4476766,1.4048461,1.4295113,1.4167267,1.4235626,1.3983631,1.41714,1.4352449,1.4475388,1.447737,1.4359943,1.4475388,1.4237777,1.4479522,1.4474615,1.4294339,1.4421412,1.4297095,1.4668064,1.4720493,1.4531951,1.4470481,1.4960255,1.4716359,1.4716359,1.4717133,1.4468498,1.4474615,1.4598327,1.4665913,1.4475388,1.4481504,1.4476766,1.4359943,1.4172174,1.4179668,1.4233643,1.4418052,1.4413918,1.4117593,1.4114838,1.4057502,1.4114064,1.4237777,1.4540991,1.4958877,1.4776451,1.4954744,1.4772317,1.4958104,1.4774469,1.4893274,1.4895257,1.5016213,1.4895257,1.4773695,1.5024481,1.4964993,1.4900768,1.501544,1.4774469,1.4958877,1.4904902,1.4839298,1.4598327,1.4659797,1.4720493,1.4663157,1.4717133,1.4786869,1.4478748,1.4601687,1.4476766,1.4479522,1.4659797,1.4481504,1.4726778,1.4610728,1.4360716,1.4362698,1.4478748,1.4778602,1.4720493,1.4844205,1.4900768,1.4962238,1.4839298,1.4904902,1.4773695,1.4835165,1.58173,1.5563759,1.5568666,1.5383484,1.5139152,1.5202605,1.5079665,1.5134246,1.5568666,1.562738
2020-03-18.out.6,0.0,1.5326922,1.5388391,1.5207343,1.5143286,1.5027841,1.4895257,1.5257185,1.5565911,1.5988704,1.5744808,1.5744034,1.5750319,1.5689623,1.5515464,1.5578311,1.5081817,1.5259336,1.5570044,1.5568062,1.5389769,1.5326922,1.5023707,1.5335189,1.5142513,1.5328299,1.5574178,1.5139152,1.5322788,1.5388391,1.5806277,1.5808429,1.5621869,1.5565911,1.55728,1.5451239,1.563763,1.5564533,1.6170188,1.6106736,1.6228297,1.592431,1.6108718,1.6052156,1.5744808,1.5683338,1.5877392,1.5564533,1.5811789,1.5934728,1.5322015,1.562402,1.5932577,1.5867747,1.5748168,1.5507197,1.5568666,1.5752302,1.5690228,1.5691606,1.5324166,1.5384258,1.5262696,1.5449861,1.5566684,1.5816696,1.599818,1.5934124,1.5632287,1.5516842,1.5699873,1.5636421,1.5456146,1.5754453,1.5572027,1.5568666,1.5755226,1.563427,1.5623247,1.562738,1.5750319,1.5748168,1.6297261,1.5814545,1.5926461,1.6047249,1.6168206,1.6115003,1.6051382,1.6354597,1.6474176,1.6726943,1.6715147,1.6541157,1.6478309,1.6661945,1.6543139,1.6478309,1.6298034,1.6177246,1.5934728,1.5748941,1.5996198,1.6001105,1.5876014,1.5876014,1.5691606,1.5881526,1.5572027,1.5814545,1.5818678,1.6003087,1.5938862,1.5817905,1.5698495,1.5938862,1.6293127,1.6662718,1.6485803,1.6359504,1.6299412,1.6183362,1.5997576,1.6549424,1.6369149,1.6907823,1.6965159,1.6656433,1.6846354
2020-03-18.out.7,0.0,1.6353219,1.6478309,1.6723414,1.6662718,1.6660736,1.6475554,1.6354597,1.7027402,1.6842993,1.6600475,1.6539779,1.648167,1.6597115,1.6543139,1.6351236,1.6662718,1.6723414,1.6659962,1.6478309,1.6728321,1.6785657,1.6601248,1.6604004,1.6664096,1.6613649,1.6605382,1.6662718,1.6659962,1.6605382,1.6539779,1.7204921,1.683886,1.684222,1.6894649,1.6894649,1.68968,1.678075,1.6470042,1.6534872,1.6600475,1.635873,1.6237338,1.6601248,1.6594964,1.6416066,1.6535645,1.6723414,1.6899556,1.7083965,1.6959043,1.6781524,1.6908596,1.6592208,1.6657811,1.6899556,1.6903689,1.6846354,1.6666078,1.6168206,1.6476158,1.6659962,1.68968,1.7019739,1.6831197,1.7387179,1.7317442,1.7675237,1.7555053,1.7620656,1.7435474,1.7436248,1.7314686,1.7435474,1.7738689,1.755428,1.7857494,1.7857494,1.7608255,1.7734555,1.7615749,1.7679975,1.7619883,1.7439608,1.7496944,1.7313308,1.778285,1.8140645,1.8023217,1.8086838,1.8086065,1.8425173,1.8858216,1.9046759,1.886235,1.9050892,1.8919686,1.9163582,1.9165564,1.9103321,1.9162808,1.8798125,1.886235,1.8561287,1.8803032,1.8741562,1.862689,1.8569554,1.8442481,1.8381785,1.8561287,1.8564043,1.8561287,1.8625512,1.8686982,1.8622756,1.8441103,1.8675959,1.8682848,1.8499817,1.8624739,1.8557153,1.8445237,1.8686982,1.8559136,1.8493532,1.849491,1.8490777,1.8744318
2020-03-18.out.8,0.0,1.8680697,1.8798125,1.8555002,1.8434214,1.8498439,1.83755,1.8256695,1.8314031,1.8317391,1.8258072,1.8377651,1.8258072,1.8260055,1.8198754,1.8387901,1.8081931,1.7894162,1.7896144,1.7590948,1.7653795,1.8077797,1.8198585,1.8139267,1.8076419,1.8012194,1.8076419,1.8140645,1.7838808,1.764751,1.7639243,1.8197981,1.856542,1.8256695,1.8072286,1.8318164,1.8137889,1.8019084,1.7952102,1.7529478,1.7703468,1.8010043,1.8077797,1.8074437,1.7588796,1.7829768,1.8010816,1.801495,1.8075042,1.8376878,1.8255921,1.8381616,1.8137116,1.8200737,1.8010816,1.7880214,1.83755,1.8433441,1.849155,1.855638,1.8679319,1.8555002,1.836646,1.8432063,1.8367837,1.8371971,1.8376878,1.8498439,1.8256695,1.8071512,1.8192469,1.8133755,1.801495,1.7893389,1.789554,1.7781472,1.753146,1.76544,1.7896144,1.7775356,1.7594308,1.7597064,1.7595081,1.7650266,1.7775961,1.7465084,1.7774583,1.7655777,1.7711736,1.7530687,1.7717247,1.7655777,1.7529478,1.7957614,1.7895371,1.777949,1.7715869,1.753146,1.7655777,1.7774583,1.7535594,1.728696,1.747352,1.7347052,1.7291094,1.7537745,1.7355319,1.7166776,1.7414033,1.7291094,1.7043837,1.7475502,1.7233153,1.7110214,1.6741396,1.674553,1.6749664,1.6630858,1.6503785,1.6748286,1.6622591,1.6994769,1.6812511,1.6811133,1.6506541,1.6812511,1.6751041,1.6808982,1.6812511
2020-03-18.out.9,0.0,1.6503785,1.6630085,1.6634992,1.6268325,1.6393247,1.6333929,1.614952,1.6025807,1.6279953,1.6271081,1.6210989,1.6329022,1.6206082,1.6143235,1.6391265,1.6201949,1.6210989,1.5788196,1.5784836,1.6213141,1.6034075,1.638834,1.6815267,1.6567406,1.6569388,1.638498,1.6941566,1.6876132,1.6696461,1.6327644,1.6268325,1.6329795,1.6210216,1.5902868,1.621435,1.5965111,1.6092184,1.6215123,1.6148746,1.6151502,1.6212367,1.6210989,1.6461606,1.6337289,1.6273837,1.6150898,1.5972605,1.5722593,1.5724744,1.5661897,1.6030714,1.6210216,1.6090033,1.608805,1.5969245,1.6029941,1.6146764,1.5902868,1.615288,1.5784836,1.5786818,1.5543091,1.5782685,1.5723366,1.5663879,1.5606543,1.573086,1.5853195,1.6280726,1.6030714,1.5841399,1.6028563,1.5972605,1.578897,1.5607921,1.5784063,1.5549981,1.5547225,1.5608694,1.5420152,1.6030714,1.621435,1.6338062,1.6083143,1.6391265,1.6514204,1.6271686,1.621435,1.6092184,1.5841399,1.6206856,1.6083143,1.6208838,1.5782685,1.5782685,1.5909758,1.5910531,1.5968471,1.5661123,1.5850439,1.5849666,1.5846305,1.5975361,1.5837265,1.5960204,1.6202722,1.6020296,1.62041,1.6333155,1.6212972,1.5969245,1.5545074,1.5546451,1.5854573,1.5411885,1.5968471,1.5852422,1.5786214,1.5669391,1.5239104,1.5483604,1.566603,1.5485755,1.5489889,1.5555492,1.5308236,1.5612828,1.5604561
