,label,val_0,val_1,val_2,val_3,val_4,val_5,val_6,val_7,val_8,val_9,val_10,val_11,val_12,val_13,val_14,val_15,val_16,val_17,val_18,val_19,val_20,val_21,val_22,val_23,val_24,val_25,val_26,val_27,val_28,val_29,val_30,val_31,val_32,val_33,val_34,val_35,val_36,val_37,val_38,val_39,val_40,val_41,val_42,val_43,val_44,val_45,val_46,val_47
2020-02-29.out.0,2.0,1.3587604,-1.0131046,-0.3516162,1.358838,-1.0130969,-0.3516162,1.3588098,-1.0130976,-0.3516021,1.3588309,-1.0130962,-0.3516021,1.3588591,-1.0130948,-0.3516162,1.3588239,-1.0130955,-0.351595,1.3588027,-1.0130955,-0.3515739,1.3588309,-1.0130934,-0.3515809,1.3588309,-1.0130934,-0.3515809,1.3588098,-1.0130934,-0.3515598,1.3588239,-1.0130934,-0.3515739,1.358838,-1.0130912,-0.3515668,1.3588732,-1.0130905,-0.351595,1.3588521,-1.0130905,-0.3515668,1.3588662,-1.0130891,-0.3515739,1.3587886,-1.0130948,-0.3515527
2020-02-29.out.1,2.0,1.3588309,-1.0130912,-0.3515598,1.3588521,-1.0130905,-0.3515739,1.3588309,-1.0130927,-0.3515668,1.358845,-1.0130919,-0.3515739,1.358838,-1.0130934,-0.351588,1.3588309,-1.0130948,-0.351588,1.3588309,-1.0130934,-0.3515809,1.358845,-1.0130934,-0.3516021,1.3588168,-1.0130948,-0.3515809,1.3588309,-1.0130941,-0.351588,1.3588521,-1.0130934,-0.3516021,1.3588662,-1.0130948,-0.3516232,1.3588662,-1.0130948,-0.3516303,1.3587886,-1.0131011,-0.3516091,1.3587745,-1.0131053,-0.3516373,1.3588027,-1.0131032,-0.3516444
2020-02-29.out.2,2.0,1.3587745,-1.0131046,-0.3516303,1.3588027,-1.0131039,-0.3516444,1.3588239,-1.0131011,-0.3516514,1.3587745,-1.0131067,-0.3516514,1.358845,-1.0131046,-0.3517007,1.3588309,-1.0131046,-0.3516867,1.3588027,-1.0131075,-0.3516867,1.358845,-1.0131032,-0.3516867,1.3588168,-1.0131032,-0.3516585,1.3588309,-1.0131032,-0.3516726,1.358838,-1.0131032,-0.3516796,1.3588098,-1.0131032,-0.3516514,1.3587957,-1.0131025,-0.3516303,1.3587886,-1.0131018,-0.3516162,1.3587886,-1.0131018,-0.3516162,1.3587886,-1.0131011,-0.3516091
2020-02-29.out.3,2.0,1.3587675,-1.0131018,-0.351595,1.3588027,-1.0130976,-0.351595,1.3588098,-1.0130976,-0.3516021,1.3587957,-1.0130983,-0.351588,1.3587957,-1.0131004,-0.3516091,1.3587816,-1.0131004,-0.351595,1.3588239,-1.0130969,-0.3516091,1.3588168,-1.0130955,-0.351588,1.3588168,-1.0130955,-0.3515809,1.3587957,-1.0130969,-0.3515739,1.3587957,-1.0130955,-0.3515668,1.3587675,-1.0130976,-0.3515598,1.3588168,-1.0130948,-0.3515739,1.3588098,-1.0130934,-0.3515598,1.3588027,-1.0130941,-0.3515598,1.3587957,-1.0130948,-0.3515598
2020-02-29.out.4,2.0,1.3587816,-1.0130948,-0.3515457,1.3588027,-1.0130948,-0.3515668,1.3587957,-1.0130955,-0.3515668,1.3588239,-1.0130927,-0.3515598,1.3587957,-1.0130934,-0.3515457,1.3588027,-1.0130948,-0.3515598,1.3587886,-1.0130948,-0.3515527,1.3588098,-1.0130948,-0.3515668,1.3588239,-1.0130934,-0.3515739,1.3588239,-1.0130934,-0.3515739,1.3588309,-1.0130927,-0.3515668,1.358845,-1.0130912,-0.3515739,1.3588521,-1.0130905,-0.3515739,1.3588732,-1.0130884,-0.3515739,1.358845,-1.0130905,-0.3515668,1.358845,-1.0130884,-0.3515457
2020-02-29.out.5,2.0,1.3588239,-1.0130891,-0.3515316,1.3588309,-1.0130891,-0.3515386,1.3588098,-1.0130905,-0.3515316,1.3588239,-1.0130898,-0.3515316,1.3588027,-1.0130891,-0.3515175,1.3588027,-1.0130884,-0.3515034,1.3588098,-1.0130884,-0.3515104,1.3587886,-1.0130884,-0.3514822,1.3587886,-1.0130891,-0.3514963,1.3588027,-1.0130884,-0.3515034,1.3588168,-1.013087,-0.3515034,1.3588168,-1.013087,-0.3515104,1.3587957,-1.013087,-0.3514822,1.3587322,-1.0130842,-0.3513906,1.3588027,-1.0130842,-0.3514611,1.3587675,-1.0130828,-0.3514188
2020-02-29.out.6,2.0,1.3587745,-1.0130821,-0.3514188,1.3588027,-1.0130828,-0.351447,1.3587957,-1.0130849,-0.3514682,1.3587745,-1.0130842,-0.3514329,1.3587957,-1.0130814,-0.3514329,1.3587886,-1.0130842,-0.351447,1.3587886,-1.0130849,-0.3514541,1.3588027,-1.0130849,-0.3514752,1.3588239,-1.0130849,-0.3514893,1.3588027,-1.013087,-0.3514893,1.3588168,-1.0130884,-0.3515104,1.358838,-1.0130849,-0.3515034,1.3588873,-1.0130856,-0.3515598,1.3589014,-1.0130849,-0.3515668,1.3588732,-1.0130856,-0.3515527,1.3588591,-1.013087,-0.3515457
2020-02-29.out.7,2.0,1.3588521,-1.0130849,-0.3515245,1.3588098,-1.0130905,-0.3515316,1.3588168,-1.0130884,-0.3515175,1.358845,-1.013087,-0.3515316,1.3588168,-1.0130891,-0.3515316,1.3588591,-1.013087,-0.3515527,1.3588732,-1.0130884,-0.3515739,1.3588098,-1.0130891,-0.3515175,1.3587816,-1.0130927,-0.3515245,1.3588027,-1.0130905,-0.3515245,1.3587745,-1.0130927,-0.3515175,1.3587534,-1.0130955,-0.3515245,1.3587745,-1.0130927,-0.3515104,1.3587886,-1.0130934,-0.3515316,1.3587745,-1.0130927,-0.3515175,1.3587745,-1.0130934,-0.3515245
2020-02-29.out.8,2.0,1.3587745,-1.0130941,-0.3515316,1.3588027,-1.0130919,-0.3515316,1.3587957,-1.0130927,-0.3515316,1.3588027,-1.0130905,-0.3515245,1.358838,-1.0130884,-0.3515316,1.3587886,-1.0130912,-0.3515175,1.3587604,-1.0130955,-0.3515245,1.3587816,-1.0130927,-0.3515175,1.3587816,-1.0130927,-0.3515245,1.3587534,-1.0130948,-0.3515175,1.3587675,-1.0130934,-0.3515175,1.3587745,-1.0130941,-0.3515316,1.3587745,-1.0130955,-0.3515457,1.3587816,-1.0130927,-0.3515245,1.3587886,-1.0130927,-0.3515316,1.3587675,-1.0130955,-0.3515316
2020-02-29.out.9,2.0,1.3588168,-1.0130919,-0.3515457,1.3587675,-1.0130955,-0.3515386,1.3588027,-1.0130948,-0.3515668,1.3588309,-1.0130891,-0.3515316,1.3587534,-1.0130969,-0.3515316,1.3587604,-1.0130969,-0.3515386,1.3587675,-1.013099,-0.3515668,1.3588239,-1.0130948,-0.3515809,1.3587886,-1.0130955,-0.3515598,1.3587534,-1.0131011,-0.3515739,1.3587816,-1.0130976,-0.3515739,1.3587957,-1.0130976,-0.351588,1.3587816,-1.0130962,-0.3515527,1.3588168,-1.0130934,-0.3515668,1.3588027,-1.0130934,-0.3515527,1.3588027,-1.0130948,-0.3515598
