,label,val_0,val_1,val_2,val_3,val_4,val_5,val_6,val_7,val_8,val_9,val_10,val_11,val_12,val_13,val_14,val_15
2020-04-24.out.0,3.0,-1.5991671,-1.5980493,-1.6004129,-1.602771,-1.59656,-1.5953081,-1.603167,-1.602905,-1.6066511,-1.6069552,-1.6048059,-1.6067545,-1.6062585,-1.6025757,-1.594112,-1.5820072
2020-04-24.out.1,3.0,-1.59656,-1.5953081,-1.603167,-1.602905,-1.6066511,-1.6069552,-1.6048059,-1.6067545,-1.6062585,-1.6025757,-1.594112,-1.5820072,-1.5807532,-1.5875884,-1.5945828,-1.6057224
2020-04-24.out.2,3.0,-1.6017892,-1.6033337,-1.5981792,-1.598516,-1.5952523,-1.5985582,-1.6026812,-1.6067177,-1.6070946,-1.6047808,-1.6074566,-1.6003707,-1.6020206,-1.597471,-1.5975744,-1.5996264
2020-04-24.out.3,3.0,-1.6013354,-1.6035711,-1.6059598,-1.605868,-1.6027098,-1.6032418,-1.6029547,-1.6005966,-1.6000053,-1.6004741,-1.6033758,-1.604329,-1.5979153,-1.6002924,-1.603284,-1.6107542
2020-04-24.out.4,3.0,-1.6099541,-1.6024859,-1.5958265,-1.5945746,-1.5948195,-1.5934227,-1.5931472,-1.590787,-1.5957905,-1.600585,-1.600072,-1.5955394,-1.593518,-1.5923947,-1.5974458,-1.5973845
2020-04-24.out.5,3.0,-1.596615,-1.593139,-1.5929689,-1.5971164,-1.5960238,-1.5990038,-1.5971471,-1.5968599,-1.5883824,-1.5832277,-1.5935982,-1.5995106,-1.6031819,-1.601911,-1.5980866,-1.5948195
2020-04-24.out.6,3.0,-1.5927178,-1.5938853,-1.5891151,-1.5849136,-1.584883,-1.5813204,-1.583478,-1.5848714,-1.5841747,-1.582965,-1.5828867,-1.5853538,-1.5882115,-1.5885408,-1.5899901,-1.5899512
2020-04-24.out.7,3.0,-1.584766,-1.5802603,-1.5815177,-1.5853898,-1.5807059,-1.5716958,-1.575794,-1.5765276,-1.5820361,-1.5813584,-1.5747985,-1.5748121,-1.570677,-1.5669135,-1.5688623,-1.5740172
2020-04-24.out.8,3.0,-1.578642,-1.5803648,-1.5770227,-1.576362,-1.5750623,-1.5681709,-1.5672925,-1.5697903,-1.5700774,-1.566827,-1.5637433,-1.563701,-1.563494,-1.5583865,-1.5568336,-1.5558939
2020-04-24.out.9,3.0,-1.5533707,-1.5538585,-1.552431,-1.556064,-1.5625037,-1.5594486,-1.5573297,-1.5580876,-1.5564259,-1.5562729,-1.5593145,-1.5592532,-1.5569084,-1.5564142,-1.5478437,-1.5505369
2020-04-24.out.10,3.0,-1.5479525,-1.5431573,-1.5441106,-1.5489175,-1.5545318,-1.5459306,-1.551978,-1.550311,-1.5480137,-1.5416927,-1.5404692,-1.5459253,-1.5478319,-1.5471405,-1.5451304,-1.544935
2020-04-24.out.11,3.0,-1.5469946,-1.5436575,-1.537384,-1.5349914,-1.5364495,-1.5338309,-1.5295963,-1.536536,-1.5382337,-1.5287112,-1.5322525,-1.5381302,-1.5425718,-1.5391088,-1.5269745,-1.5254657
2020-04-24.out.12,3.0,-1.5248607,-1.5279025,-1.5317276,-1.5364142,-1.5342016,-1.5347453,-1.5354114,-1.5322525,-1.5311038,-1.5330358,-1.5302389,-1.5308302,-1.5355032,-1.5313128,-1.5314046,-1.5294862
2020-04-24.out.13,3.0,-1.5312874,-1.5307996,-1.5341592,-1.5313128,-1.5364683,-1.5395524,-1.5402133,-1.5373722,-1.535175,-1.5396084,-1.5316117,-1.5339091,-1.5358275,-1.5410189,-1.5414844,-1.5462302
