,label,val_0,val_1,val_2,val_3,val_4,val_5,val_6,val_7,val_8,val_9,val_10,val_11,val_12,val_13,val_14,val_15,val_16,val_17,val_18,val_19,val_20,val_21,val_22,val_23,val_24,val_25,val_26,val_27,val_28,val_29,val_30,val_31,val_32,val_33,val_34,val_35,val_36,val_37,val_38,val_39,val_40,val_41,val_42,val_43,val_44,val_45,val_46,val_47,val_48,val_49,val_50,val_51,val_52,val_53,val_54,val_55,val_56,val_57,val_58,val_59,val_60,val_61,val_62,val_63,val_64,val_65,val_66,val_67,val_68,val_69,val_70,val_71,val_72,val_73,val_74,val_75,val_76,val_77,val_78,val_79,val_80,val_81,val_82,val_83,val_84,val_85,val_86,val_87,val_88,val_89,val_90,val_91,val_92,val_93,val_94,val_95
2020-05-05.out.0,8.0,1.3604143,-1.013595,-0.3429987,1.3604497,-1.0135986,-0.3430625,1.3604355,-1.0136078,-0.3431404,1.3604072,-1.0136099,-0.3431333,1.3605276,-1.0136035,-0.343197,1.3604993,-1.0136014,-0.3431474,1.3604355,-1.0136028,-0.3430979,1.3605276,-1.0135965,-0.3431262,1.3605984,-1.0135965,-0.343197,1.3606126,-1.0135936,-0.3431829,1.360563,-1.0135986,-0.3431829,1.360648,-1.0135965,-0.3432466,1.3606055,-1.0136021,-0.3432607,1.3607046,-1.0135922,-0.3432607,1.3606692,-1.0135965,-0.3432678,1.3606055,-1.0136042,-0.343282,1.3605701,-1.0136142,-0.3433457,1.3605984,-1.013612,-0.3433457,1.3605842,-1.0136177,-0.3433811,1.3605559,-1.0136205,-0.3433882,1.3605842,-1.0136142,-0.3433528,1.3606197,-1.0136099,-0.3433457,1.3606551,-1.0136057,-0.3433457,1.3606197,-1.013612,-0.343374,1.3606126,-1.0136071,-0.3433103,1.3606267,-1.0136057,-0.3433174,1.3604568,-1.0136135,-0.3432112,1.3604355,-1.0136028,-0.3430908,1.3603718,-1.0136042,-0.3430483,1.3604497,-1.013605,-0.3431262,1.360478,-1.0136057,-0.3431616,1.3605347,-1.0136021,-0.3431829
2020-05-05.out.1,8.0,1.3605701,-1.0136014,-0.3432183,1.3606338,-1.0135965,-0.3432324,1.3605276,-1.0135965,-0.3431191,1.3603647,-1.0135972,-0.3429704,1.3604497,-1.0135993,-0.3430766,1.3604922,-1.0136014,-0.3431333,1.3604639,-1.0136035,-0.3431333,1.360563,-1.0136057,-0.3432537,1.3604993,-1.0136106,-0.3432324,1.3604214,-1.0136184,-0.3432324,1.3604639,-1.0136156,-0.3432466,1.3604497,-1.0136149,-0.3432253,1.3604568,-1.0136156,-0.3432395,1.3604568,-1.0136163,-0.3432466,1.3604568,-1.013617,-0.3432537,1.3604922,-1.013612,-0.3432395,1.3604639,-1.0136078,-0.3431687,1.3605205,-1.0136071,-0.3432253,1.3604426,-1.0136035,-0.343105,1.3603789,-1.0135972,-0.3429846,1.360471,-1.013595,-0.3430554,1.3604639,-1.0135972,-0.3430696,1.3606409,-1.0135972,-0.3432537,1.360733,-1.0136007,-0.3433811,1.3601452,-1.0136071,-0.342843,1.3604285,-1.0136028,-0.3430837,1.3607046,-1.013605,-0.3433882,1.3606834,-1.013612,-0.3434378,1.3604639,-1.0136205,-0.3432962,1.3603789,-1.0136234,-0.3432324,1.3603081,-1.0136219,-0.3431474,1.3600886,-1.0136219,-0.3429279
2020-05-05.out.2,8.0,1.3605064,-1.0136163,-0.3432962,1.3604993,-1.0136255,-0.343367,1.360563,-1.0136276,-0.343459,1.3607754,-1.0136212,-0.3436077,1.3608321,-1.0136198,-0.3436573,1.3606551,-1.0136347,-0.3436148,1.3606197,-1.0136319,-0.3435582,1.3606055,-1.0136404,-0.3436219,1.3606055,-1.0136283,-0.3435086,1.360563,-1.0136347,-0.3435227,1.3605913,-1.0136283,-0.3434944,1.3606126,-1.0136283,-0.3435157,1.3606763,-1.0136283,-0.3435794,1.3606621,-1.0136297,-0.3435794,1.3606267,-1.0136326,-0.3435723,1.3606763,-1.0136283,-0.3435723,1.3606834,-1.0136283,-0.3435865,1.360648,-1.0136304,-0.3435723,1.360563,-1.0136347,-0.3435298,1.3605913,-1.0136347,-0.3435582,1.3606621,-1.0136333,-0.3436148,1.3606551,-1.0136255,-0.3435227,1.3606267,-1.0136198,-0.3434519,1.3604355,-1.0136241,-0.3432962,1.3605134,-1.0136241,-0.343374,1.3605701,-1.0136234,-0.3434165,1.3605842,-1.0136184,-0.3433953,1.3605913,-1.0136191,-0.3434094,1.3605842,-1.0136205,-0.3434094,1.3606055,-1.0136212,-0.3434378,1.3605842,-1.0136219,-0.3434236,1.3605913,-1.0136262,-0.3434732
2020-05-05.out.3,8.0,1.3606267,-1.0136241,-0.3434944,1.3606409,-1.0136241,-0.3435015,1.3607896,-1.0136135,-0.3435511,1.3607046,-1.0136227,-0.3435582,1.3606409,-1.0136276,-0.3435369,1.3606905,-1.0136262,-0.3435723,1.3607684,-1.0136212,-0.3436006,1.3607188,-1.0136276,-0.3436148,1.360478,-1.0136389,-0.3434873,1.360648,-1.0136269,-0.3435369,1.36074,-1.0136219,-0.3435794,1.3605418,-1.0136304,-0.3434661,1.3607259,-1.0136255,-0.3436006,1.3607754,-1.0136255,-0.3436502,1.3608958,-1.0136219,-0.3437423,1.360733,-1.013629,-0.3436431,1.3607471,-1.0136361,-0.343721,1.3608392,-1.0136326,-0.3437847,1.3607188,-1.0136382,-0.343721,1.3606197,-1.0136389,-0.343629,1.3608321,-1.0136425,-0.3438697,1.3607967,-1.013646,-0.3438697,1.3606763,-1.0136474,-0.3437706,1.3603718,-1.0136453,-0.3434378,1.360563,-1.0136524,-0.3436927,1.360386,-1.0136503,-0.3434944,1.3604497,-1.0136474,-0.3435369,1.3605276,-1.0136425,-0.3435652,1.3604355,-1.0136411,-0.343459,1.3605205,-1.0136361,-0.3434944,1.360563,-1.0136326,-0.3435086,1.3605347,-1.0136368,-0.3435157
2020-05-05.out.4,8.0,1.3606267,-1.0136404,-0.3436431,1.3605347,-1.0136389,-0.3435369,1.3602798,-1.0136425,-0.3433103,1.3604143,-1.0136404,-0.3434236,1.3606267,-1.0136347,-0.3435936,1.3604001,-1.0136304,-0.3433245,1.3606621,-1.0136347,-0.343629,1.3605842,-1.0136389,-0.3435865,1.3607046,-1.0136411,-0.3437352,1.3606763,-1.013634,-0.343629,1.3606621,-1.013634,-0.3436219,1.3605347,-1.0136354,-0.3435086,1.3605276,-1.0136361,-0.3435015,1.3605134,-1.0136411,-0.343544,1.3606126,-1.0136389,-0.3436219,1.3606834,-1.0136347,-0.3436502,1.360733,-1.0136347,-0.3436998,1.3608179,-1.013629,-0.3437352,1.3608604,-1.0136361,-0.3438414,1.3607896,-1.0136425,-0.3438343,1.3606834,-1.0136425,-0.343721,1.360648,-1.0136368,-0.343636,1.3606338,-1.0136361,-0.3436077,1.360563,-1.0136304,-0.3434873,1.3606551,-1.0136241,-0.3435157,1.3604285,-1.0136283,-0.3433316,1.3601665,-1.0136276,-0.3430554,1.3602939,-1.0136262,-0.3431758,1.3602656,-1.0136205,-0.3430979,1.3602373,-1.0136149,-0.3430129,1.3603435,-1.0136163,-0.3431333,1.3604214,-1.0136135,-0.3431758
2020-05-05.out.5,8.0,1.360478,-1.0136177,-0.3432749,1.3605347,-1.0136135,-0.3432891,1.3606267,-1.0136135,-0.3433882,1.3606975,-1.0136135,-0.343459,1.3606763,-1.0136198,-0.3435015,1.3606409,-1.0136269,-0.3435369,1.3607046,-1.0136255,-0.3435794,1.360648,-1.0136347,-0.3436148,1.3607684,-1.0136319,-0.3437069,1.3608038,-1.0136312,-0.3437352,1.3607542,-1.0136382,-0.3437493,1.3606126,-1.0136347,-0.3435723,1.360471,-1.0136304,-0.3433953,1.3604497,-1.0136283,-0.3433528,1.3604993,-1.0136262,-0.3433811,1.3603577,-1.013629,-0.3432678,1.360386,-1.0136276,-0.3432749,1.3604143,-1.0136262,-0.3432891,1.3603789,-1.0136283,-0.3432749,1.3603435,-1.0136241,-0.3432041,1.3604426,-1.0136255,-0.3433103,1.3603789,-1.0136241,-0.3432395,1.3604568,-1.0136276,-0.3433457,1.3605559,-1.0136262,-0.3434378,1.3607259,-1.0136276,-0.3436219,1.3606055,-1.0136241,-0.3434732,1.3607967,-1.0136234,-0.3436502,1.3608108,-1.0136241,-0.3436714,1.3606834,-1.0136326,-0.343629,1.3603718,-1.013634,-0.3433245,1.3605205,-1.0136319,-0.343459,1.3607188,-1.0136262,-0.3436077
2020-05-05.out.6,8.0,1.3604497,-1.0136255,-0.3433245,1.3605559,-1.0136276,-0.3434449,1.3605064,-1.0136276,-0.3433953,1.3604851,-1.0136255,-0.3433599,1.3604143,-1.0136283,-0.3433103,1.3604851,-1.0136255,-0.3433599,1.360478,-1.013629,-0.3433882,1.3605205,-1.0136276,-0.3434094,1.3604285,-1.0136241,-0.3432891,1.3605913,-1.013617,-0.3433882,1.3605205,-1.0136177,-0.3433174,1.360471,-1.0136219,-0.3433103,1.3604497,-1.0136241,-0.3433032,1.3605418,-1.0136241,-0.3434024,1.3604143,-1.0136234,-0.3432607,1.3604214,-1.0136241,-0.343282,1.3605347,-1.0136219,-0.343374,1.3606621,-1.0136142,-0.3434378,1.3604072,-1.0136276,-0.3433032,1.3605347,-1.0136283,-0.3434378,1.3605418,-1.0136262,-0.3434236,1.3603222,-1.0136382,-0.3433174,1.3604497,-1.0136326,-0.3433882,1.3604072,-1.0136326,-0.3433528,1.3604001,-1.0136375,-0.3433953,1.360478,-1.013634,-0.3434378,1.3604851,-1.0136354,-0.3434519,1.3606338,-1.0136304,-0.3435582,1.3606551,-1.0136283,-0.3435582,1.3606905,-1.0136269,-0.3435794,1.3608179,-1.0136198,-0.3436431,1.3606975,-1.0136241,-0.3435652
2020-05-05.out.7,8.0,1.3606126,-1.0136269,-0.3435015,1.3606551,-1.0136241,-0.3435157,1.3607188,-1.0136212,-0.3435511,1.3607471,-1.0136234,-0.3436006,1.3606975,-1.0136248,-0.3435723,1.3605418,-1.013629,-0.343459,1.3605488,-1.0136333,-0.3435015,1.3606409,-1.013634,-0.3435936,1.3606197,-1.0136304,-0.343544,1.3607188,-1.0136255,-0.3435936,1.3607046,-1.0136262,-0.3435865,1.3607613,-1.0136262,-0.3436502,1.3607046,-1.0136333,-0.3436573,1.3607471,-1.0136283,-0.3436502,1.3607188,-1.0136304,-0.3436431,1.3607542,-1.013634,-0.3437069,1.3606621,-1.0136425,-0.3436927,1.3606338,-1.0136411,-0.3436573,1.3604993,-1.0136382,-0.3434944,1.360386,-1.0136404,-0.3434024,1.3604568,-1.0136425,-0.3434873,1.3604001,-1.0136432,-0.3434449,1.3603506,-1.0136411,-0.343374,1.3603506,-1.0136489,-0.3434449,1.3604851,-1.0136446,-0.3435369,1.3604851,-1.0136432,-0.3435298,1.3604993,-1.013646,-0.3435652,1.3604993,-1.0136453,-0.3435652,1.3605772,-1.0136446,-0.343629,1.3605913,-1.0136446,-0.3436431,1.3605984,-1.0136503,-0.3437069,1.3606197,-1.013651,-0.3437352
2020-05-05.out.8,8.0,1.3606055,-1.0136524,-0.3437352,1.3606692,-1.0136474,-0.3437564,1.3606692,-1.0136474,-0.3437564,1.3606338,-1.013651,-0.3437564,1.3605134,-1.013651,-0.343629,1.360563,-1.013646,-0.343629,1.3606621,-1.0136432,-0.3437139,1.3606834,-1.0136467,-0.3437635,1.3605205,-1.013651,-0.343636,1.3603789,-1.0136531,-0.3435157,1.3604285,-1.0136467,-0.3435086,1.3606551,-1.0136397,-0.3436714,1.3605772,-1.0136382,-0.3435794,1.3606126,-1.0136382,-0.3436077,1.3605701,-1.013651,-0.3436856,1.3605418,-1.0136474,-0.343629,1.3605064,-1.0136446,-0.3435582,1.3604922,-1.0136446,-0.343544,1.3606692,-1.0136382,-0.3436644,1.3605772,-1.0136489,-0.3436714,1.3605205,-1.0136524,-0.3436502,1.3605701,-1.0136397,-0.3435794,1.3606055,-1.0136347,-0.3435723,1.3605913,-1.0136425,-0.3436219,1.3606197,-1.013646,-0.3436856,1.3605842,-1.013646,-0.3436573,1.3606055,-1.013646,-0.3436714,1.3606126,-1.013646,-0.3436856,1.3604922,-1.0136411,-0.3435157,1.3606551,-1.0136361,-0.343629,1.3606621,-1.0136425,-0.3436998,1.3607046,-1.0136425,-0.3437423
2020-05-05.out.9,8.0,1.3606834,-1.0136425,-0.343721,1.3606126,-1.013646,-0.3436856,1.3607046,-1.0136411,-0.3437352,1.3605701,-1.0136467,-0.3436502,1.3606621,-1.0136432,-0.3437069,1.3607046,-1.013646,-0.3437706,1.3606409,-1.013646,-0.3437069,1.3606197,-1.013646,-0.3436927,1.360648,-1.0136474,-0.3437352,1.3604993,-1.0136531,-0.3436431,1.3606055,-1.0136425,-0.3436431,1.3605842,-1.013651,-0.3436998,1.3605205,-1.0136531,-0.3436644,1.3605772,-1.0136531,-0.3437139,1.3605984,-1.013651,-0.3437139,1.3605205,-1.0136574,-0.3436998,1.3605488,-1.0136531,-0.3436856,1.3605842,-1.0136531,-0.343721,1.3606055,-1.0136552,-0.3437706,1.3605913,-1.0136566,-0.3437564,1.3606267,-1.0136531,-0.3437635,1.3606267,-1.0136545,-0.3437777,1.3605842,-1.0136588,-0.3437706,1.3605134,-1.0136588,-0.3436998,1.3606267,-1.0136552,-0.3437847,1.3606338,-1.0136552,-0.3437989,1.3605913,-1.0136588,-0.3437847,1.3605984,-1.0136566,-0.3437706,1.360563,-1.0136609,-0.3437706,1.3606126,-1.0136566,-0.3437847,1.3605701,-1.0136616,-0.3437918,1.3605984,-1.0136595,-0.3437989
