,label,val_0,val_1,val_2,val_3,val_4,val_5,val_6,val_7,val_8,val_9,val_10,val_11,val_12,val_13,val_14,val_15,val_16,val_17,val_18,val_19,val_20,val_21,val_22,val_23,val_24,val_25,val_26,val_27,val_28,val_29,val_30,val_31
2020-06-24.out.0,8.0,-1.2057591,-1.2967006,-1.4482699,-1.6074177,-0.682845,-0.2811865,0.2720414,0.5903369,0.4084538,0.264463,0.7343277,0.787377,0.6433862,0.6433862,0.6812785,0.787377,0.7494847,0.8480047,0.8252693,0.7722201,0.6888569,0.6282292,0.6888569,0.5372877,0.6661216,0.7419062,0.6737,0.7343277,0.7722201,0.7494847,0.7949554,0.7722201
2020-06-24.out.1,8.0,0.7494847,0.7343277,0.7267493,0.7191708,0.7343277,0.6358077,0.6737,0.6585431,0.6661216,0.6888569,0.7115923,0.7040139,0.6433862,0.7040139,0.6585431,0.6206508,0.5600231,0.5676015,0.57518,0.6206508,0.5827584,0.6282292,0.7115923,0.7115923,0.6206508,0.6661216,0.7040139,0.7419062,0.6433862,0.9616817,1.0374663,0.9692601
2020-06-24.out.2,8.0,0.8707401,0.8707401,0.7570631,0.7494847,0.7343277,0.6812785,0.6433862,0.6964354,0.6130723,0.5069738,0.6206508,0.6130723,0.6585431,0.6054938,0.7115923,0.6661216,0.7040139,0.7191708,0.6509646,0.6130723,0.7191708,0.5903369,0.6130723,0.8025339,0.7646416,0.7949554,0.7949554,0.7267493,0.6509646,0.5979154,0.9086324,0.5676015
2020-06-24.out.3,8.0,0.4842384,0.6585431,0.7419062,0.6585431,0.6737,0.6812785,0.6358077,0.5069738,0.4993953,0.6130723,0.6509646,0.7646416,0.7419062,0.7267493,0.8934755,0.7722201,0.7646416,0.8101124,0.6661216,0.8404262,0.8404262,0.8025339,1.0147309,0.8328478,0.999574,0.9919955,0.8631616,0.6509646,1.0753586,1.098094,0.7343277,0.6509646
2020-06-24.out.4,8.0,0.8555832,0.6661216,0.7040139,0.9237893,0.9086324,0.8025339,0.6737,0.7570631,0.7797985,0.7797985,0.8404262,0.9162109,1.0223094,0.8783185,0.8404262,1.0071524,0.9768386,0.9010539,0.8707401,0.7646416,0.787377,0.8328478,0.8025339,0.7494847,0.8101124,0.7115923,0.8404262,0.7419062,0.7267493,0.6661216,0.8176908,0.7797985
2020-06-24.out.5,8.0,0.7797985,0.6282292,0.6206508,0.6812785,0.787377,0.8101124,0.7494847,0.6737,0.6888569,0.6282292,0.6130723,0.7115923,0.7040139,0.8252693,0.7722201,1.0223094,0.9313678,0.8328478,0.8707401,0.8176908,0.8555832,0.8631616,0.885897,0.7570631,0.7722201,0.787377,0.8480047,0.7646416,0.8252693,0.885897,0.7646416,0.7494847
2020-06-24.out.6,8.0,0.8707401,-0.0689895,-1.4255345,-2.3652641,-2.0090763,-2.168224,-2.2515871,-2.3955779,-2.1758025,-2.168224,-1.107239,-0.7131589,0.7267493,0.7646416,0.8176908,0.7191708,0.8101124,0.7191708,0.5903369,0.5979154,0.6737,0.7494847,0.6812785,0.8404262,0.8404262,0.8025339,0.8631616,0.8555832,0.8631616,0.8176908,0.9237893,0.7949554
2020-06-24.out.7,8.0,0.6964354,0.7494847,0.7040139,0.7570631,0.7343277,0.7267493,0.7115923,0.6130723,0.6509646,0.7494847,0.787377,0.7570631,0.7267493,0.7040139,0.8404262,0.7646416,0.6888569,0.6661216,0.7570631,0.8101124,0.8328478,0.8101124,0.9465247,1.1208294,0.8480047,0.7646416,0.8404262,0.9313678,0.8555832,0.7646416,0.6358077,0.57518
2020-06-24.out.8,8.0,0.6585431,0.6206508,0.1128937,-0.4175988,0.4084538,0.4160322,0.5448661,0.5145523,0.47666,0.5676015,0.4690815,0.4084538,0.5827584,0.4463461,0.57518,0.6206508,0.57518,0.787377,0.7343277,0.5600231,0.4842384,0.4690815,0.5448661,0.5903369,0.6585431,0.6282292,0.5676015,0.4993953,0.4160322,0.2568845,0.3554045,0.5221307
2020-06-24.out.9,8.0,0.5524446,0.5448661,0.6737,0.5221307,0.5448661,0.5448661,0.5069738,0.4993953,0.3175122,0.57518,0.3781399,0.362983,0.249306,0.3402476,0.1886783,0.1735214,0.2038352,0.2265706,0.052266,-0.0159402,0.1432075,0.2265706,0.3932968,0.4311892,0.2796199,0.4311892,0.4236107,0.5145523,0.3705615,0.461503,0.4539246,0.4690815
2020-06-24.out.10,8.0,0.5448661,0.5827584,0.5372877,0.5676015,0.5827584,0.3175122,0.4311892,0.249306,0.3781399,0.3402476,0.5903369,0.6130723,0.7646416,0.6509646,0.4008753,0.6433862,0.6206508,0.6888569,0.8025339,0.6509646,0.5979154,0.7419062,0.7267493,0.6737,0.8555832,0.6282292,0.7115923,0.6206508,0.5221307,0.6206508,0.6737,0.6130723
2020-06-24.out.11,8.0,0.6433862,0.7722201,0.7267493,0.6812785,0.7115923,0.6585431,0.5297092,0.4842384,0.3402476,0.362983,0.47666,0.5827584,0.6585431,0.6585431,0.7040139,0.7570631,0.7570631,0.7646416,0.7419062,0.8404262,0.7040139,0.5524446,0.5827584,0.6282292,0.7343277,0.47666,0.2720414,0.3857184,0.6054938,0.4842384,0.5676015,0.4918169
2020-06-24.out.12,8.0,0.4918169,0.4084538,0.5979154,0.6282292,0.4993953,0.5297092,0.5145523,0.4842384,0.5979154,0.6130723,0.8101124,0.5524446,0.7115923,0.5221307,0.6282292,0.7949554,0.6130723,0.6888569,0.7722201,0.7267493,0.7115923,0.7646416,0.8252693,0.7115923,0.7570631,0.7646416,0.7570631,0.7570631,0.7722201,0.7040139,0.4918169,0.4463461
2020-06-24.out.13,8.0,0.4008753,0.461503,0.3932968,0.4463461,0.4690815,0.57518,0.57518,0.5903369,0.6206508,0.6358077,0.7797985,0.7115923,0.5676015,0.5676015,0.6358077,0.5600231,0.5827584,0.4690815,0.6509646,0.6888569,0.6358077,0.6282292,0.7267493,0.6433862,0.6130723,0.47666,0.4690815,0.5827584,0.57518,0.6130723,0.6433862,0.6585431
2020-06-24.out.14,8.0,0.5524446,0.6585431,0.5372877,0.4993953,0.4160322,0.4463461,0.6509646,0.787377,0.8101124,0.7419062,0.7419062,0.6358077,0.6206508,0.5827584,0.6206508,0.787377,0.5448661,0.8101124,0.8176908,0.7115923,0.5145523,0.5524446,0.6888569,0.7191708,0.6888569,0.6888569,0.4918169,0.362983,0.150786,0.0825798,0.037109,0.6964354
2020-06-24.out.15,8.0,0.8252693,0.6737,0.6737,0.6888569,0.6358077,0.7040139,0.7343277,0.5827584,0.7722201,0.7419062,0.6737,0.6433862,0.6585431,0.6661216,0.5297092,0.4993953,0.57518,0.6812785,0.6433862,0.5221307,0.57518,0.5069738,0.4690815,0.5524446,0.4993953,0.5448661,0.5448661,0.5827584,0.5372877,0.57518,0.4842384,0.5297092
2020-06-24.out.16,8.0,0.57518,0.6888569,-0.3039218,0.5600231,0.4387676,0.4387676,0.4539246,0.3175122,0.3705615,0.3250907,0.4008753,0.4463461,0.47666,0.2568845,0.0295306,0.1356291,0.2189922,0.2114137,0.2189922,0.2341491,0.57518,0.57518,0.4690815,0.461503,0.4993953,0.3705615,0.3250907,0.4236107,0.5676015,0.5524446,0.5600231,0.3857184
2020-06-24.out.17,8.0,0.3705615,0.461503,0.461503,0.47666,0.47666,0.3250907,0.1659429,0.1128937,0.0825798,0.2341491,0.1735214,0.2796199,0.2417276,0.362983,0.3402476,0.3781399,0.3857184,0.4311892,0.4463461,0.3402476,0.2341491,0.1810999,-0.0462541,-0.0007833,0.0295306,0.0295306,0.0295306,0.0143736,-0.0235187,-0.0917249,0.0825798,0.1280506
2020-06-24.out.18,8.0,0.2947768,0.362983,0.249306,0.2720414,0.3781399,0.6585431,0.5069738,0.5524446,0.7949554,0.9010539,1.0374663,1.1738786,0.9768386,0.8404262,0.7494847,0.6433862,0.6206508,0.4539246,0.47666,0.5448661,0.6964354,0.5297092,0.4539246,0.5524446,0.6964354,0.5069738,0.4236107,0.5069738,0.6433862,0.5372877,0.5372877,0.5448661
2020-06-24.out.19,8.0,0.5600231,0.4918169,0.5524446,0.6206508,0.6433862,0.6661216,0.7419062,0.7267493,0.7494847,0.7191708,0.7040139,0.6130723,1.0223094,1.2799771,1.1435648,0.8555832,0.461503,0.3326691,0.2947768,-1.1375529,-1.4785838,-1.5088976,-1.7589869,-1.6832023,-1.4482699,-1.4482699,-0.3115003,1.0829371,1.0374663,0.984417,0.8252693,0.9010539
2020-06-24.out.20,8.0,0.8631616,0.9692601,1.2496633,1.2572418,1.3254479,1.1890356,1.1435648,1.1435648,1.1208294,0.7570631,0.7419062,0.7646416,0.7646416,0.7797985,0.7570631,0.787377,0.7797985,0.8101124,0.8480047,0.8101124,0.6888569,0.7419062,0.6130723,0.6585431,0.7949554,0.8934755,0.9465247,1.0223094,1.1511433,1.310291,1.2420848,1.1208294
