,label,val_0,val_1,val_2,val_3,val_4,val_5,val_6,val_7,val_8,val_9,val_10,val_11,val_12,val_13,val_14,val_15,val_16,val_17,val_18,val_19,val_20,val_21,val_22,val_23,val_24,val_25,val_26,val_27,val_28,val_29,val_30,val_31,val_32,val_33,val_34,val_35,val_36,val_37,val_38,val_39,val_40,val_41,val_42,val_43,val_44,val_45,val_46,val_47,val_48,val_49,val_50,val_51,val_52,val_53,val_54,val_55,val_56,val_57,val_58,val_59,val_60,val_61,val_62,val_63
2020-09-19.out.0,10.0,-0.9796764,-0.9812643,-0.9727066,-0.9637431,-0.9632128,-0.9563339,-0.9567888,-0.9606234,-0.9612944,-0.9636677,-0.9675962,-0.9650189,-0.9651852,-0.9715338,-0.9765995,-0.9776407,-0.9781455,-0.9763628,-0.9762271,-0.9709545,-0.9691932,-0.96841,-0.9699388,-0.974986,-0.9813204,-0.9808563,-0.9839098,-0.983101,-0.9846461,-0.9853783,-0.9889336,-0.9908498,-0.989365,-0.994349,-0.9890203,-0.9864686,-0.9875568,-0.9871518,-0.9878198,-0.9920574,-0.9881176,-0.9872477,-0.9840861,-0.9836455,-0.9815202,-0.983563,-0.9772194,-0.9832254,-0.9866399,-0.9929181,-0.9910517,-0.9901747,-0.991476,-0.9912649,-0.9943959,-0.9956483,-0.9917738,-0.994044,-0.9986058,-1.004164,-1.0118283,-1.0107635,-1.0093847,-1.0051145
2020-09-19.out.1,10.0,-1.0074337,-1.0053603,-1.0093989,-1.0109583,-1.0133458,-1.0069013,-1.0071756,-1.0069339,-1.0096264,-1.0082332,-1.0102944,-1.012276,-1.0110266,-1.0090471,-1.006322,-1.0062047,-1.0062047,-1.0058152,-1.0069482,-1.0049871,-1.0048585,-1.0076305,-1.0057683,-1.0076163,-1.0074194,-1.0049687,-1.0050013,-1.0084066,-1.0063618,-1.0072246,-1.0049829,-1.008116,-1.004265,-0.9993024,-0.9986812,-1.0029188,-1.002159,-1.0055337,-1.0044292,-1.0036857,-1.0047555,-1.0040916,-1.0040916,-1.0041548,-1.0028555,-1.0037469,-1.0017531,-0.9997572,-1.0014084,-0.999441,-0.9918635,-0.9935188,-0.9936432,-0.9930241,-0.9935422,-0.9931669,-0.9922287,-0.99312,-0.9914974,-0.9913516,-0.9911384,-0.9883451,-0.9889101,-0.9931619
2020-09-19.out.2,10.0,-0.9892691,-0.982693,-0.9843278,-0.9838118,-0.9800965,-0.972529,-0.9769237,-0.9804483,-0.9822637,-0.9828358,-0.9847827,-0.9883379,-0.983617,-0.9719284,-0.9699539,-0.9708821,-0.9727137,-0.9765107,-0.9796274,-0.9775519,-0.973915,-0.975296,-0.9745974,-0.9566141,-0.9545735,-0.9526174,-0.9616626,-0.9642826,-0.9646884,-0.9631638,-0.9656757,-0.9674299,-0.9662407,-0.9661377,-0.9612873,-0.9633443,-0.9666742,-0.9681051,-0.9647232,-0.9637992,-0.9635575,-0.9664284,-0.9699531,-0.9704222,-0.9628752,-0.9626662,-0.9610435,-0.9642541,-0.9639797,-0.9620991,-0.9621297,-0.9622582,-0.9565103,-0.9484707,-0.9510316,-0.9529642,-0.9536955,-0.9568428,-0.9581115,-0.9578494,-0.9598636,-0.9605133,-0.9613129,-0.960809
2020-09-19.out.3,10.0,-0.9613129,-0.9584705,-0.9578983,-0.9560126,-0.954078,-0.9539158,-0.9545655,-0.9552294,-0.9552436,-0.952746,-0.9545797,-0.9554895,-0.9520821,-0.9558158,-0.9559167,-0.9471877,-0.9475886,-0.931592,-0.9356093,-0.9403834,-0.9390372,-0.9465188,-0.9404965,-0.9423445,-0.9354493,-0.93718,-0.9393074,-0.9381744,-0.9393564,-0.9363662,-0.9376655,-0.9387067,-0.9344692,-0.9240421,-0.9255689,-0.9320461,-0.930503,-0.9278881,-0.9248979,-0.9296535,-0.9352709,-0.9374166,-0.939849,-0.9368659,-0.9374166,-0.9327732,-0.9303715,-0.9291497,-0.928859,-0.9307233,-0.9309018,-0.9332557,-0.9318278,-0.9307866,-0.9305591,-0.9238545,-0.9257352,-0.9270529,-0.9282186,-0.9251488,-0.92403,-0.9244002,-0.9210234,-0.9195784
2020-09-19.out.4,10.0,-0.9125943,-0.9058235,-0.9134103,-0.9104088,-0.9113328,-0.9118224,-0.90929,-0.9091585,-0.9050331,-0.9079999,-0.9088627,-0.9086211,-0.9093645,-0.9069301,-0.9085323,-0.9045426,-0.9021062,-0.9053494,-0.902866,-0.9038859,-0.9023265,-0.9023755,-0.8956729,-0.8910295,-0.8866951,-0.8819294,-0.8806586,-0.8819273,-0.8894274,-0.895675,-0.890485,-0.8892305,-0.8883534,-0.887966,-0.8854968,-0.8859517,-0.8887543,-0.8834469,-0.8866901,-0.8877946,-0.8879731,-0.8890286,-0.8870001,-0.8928276,-0.8911744,-0.8893733,-0.8882362,-0.8889675,-0.8867747,-0.8839487,-0.8829849,-0.8749383,-0.8639789,-0.861467,-0.8713281,-0.8644124,-0.865111,-0.8711995,-0.871169,-0.8688661,-0.8659462,-0.8685612,-0.8655056,-0.866959
2020-09-19.out.5,10.0,-0.8664225,-0.8647521,-0.8612111,-0.8605614,-0.8607888,-0.8637108,-0.8643931,-0.8564575,-0.8533571,-0.8542434,-0.8543719,-0.8550828,-0.8564637,-0.8515622,-0.8538467,-0.8550828,-0.856429,-0.8531032,-0.8434503,-0.8428425,-0.8288602,-0.8340829,-0.8357412,-0.8390384,-0.8396952,-0.8413463,-0.8407294,-0.839428,-0.8352578,-0.8164679,-0.8165567,-0.8243148,-0.8256651,-0.8229522,-0.8247625,-0.8294814,-0.8354781,-0.8349906,-0.8357198,-0.831876,-0.8213388,-0.8330274,-0.8452178,-0.8480204,-0.8454717,-0.8444019,-0.8445946,-0.8471127,-0.8498521,-0.846928,-0.8446578,-0.8446578,-0.8449343,-0.8422888,-0.8431495,-0.8415575,-0.8442356,-0.8369773,-0.8359401,-0.8378024,-0.8382246,-0.8378187,-0.837425,-0.8347326
2020-09-19.out.6,10.0,-0.8319861,-0.8290408,-0.8276191,-0.8319861,-0.8343879,-0.8365969,-0.8356566,-0.8347468,-0.8342564,-0.8341462,-0.8333324,-0.8333793,-0.8315945,-0.8273377,-0.826329,-0.8277762,-0.831104,-0.8297231,-0.8293356,-0.8290408,-0.8288317,-0.8320423,-0.8311346,-0.832333,-0.8318965,-0.8325746,-0.8327736,-0.8309092,-0.8309092,-0.8283228,-0.8281913,-0.827558,-0.8273632,-0.8268757,-0.8234021,-0.8188055,-0.8197459,-0.8193379,-0.8206301,-0.8178887,-0.818979,-0.8194338,-0.8190891,-0.8137328,-0.8146589,-0.81631,-0.8165374,-0.8129047,-0.8093658,-0.8080828,-0.8074005,-0.8072669,-0.810609,-0.8113239,-0.8092954,-0.8102684,-0.8063215,-0.8028458,-0.8049213,-0.8065092,-0.8067529,-0.8081318,-0.8016098,-0.7943841
2020-09-19.out.7,10.0,-0.7936662,-0.7934316,-0.7920854,-0.7912083,-0.7913398,-0.7961781,-0.7952867,-0.7981781,-0.7979649,-0.7966472,-0.7943556,-0.7933001,-0.7915132,-0.7966605,-0.7941139,-0.7998271,-0.8034038,-0.8033405,-0.7997873,-0.7980189,-0.8028245,-0.8089599,-0.8079911,-0.8057351,-0.8088355,-0.8080053,-0.8050059,-0.8080543,-0.8068723,-0.8032161,-0.801774,-0.8042247,-0.8063848,-0.8071986,-0.809326,-0.8095228,-0.8108691,-0.8089222,-0.811842,-0.8120511,-0.8111597,-0.8031059,-0.8030243,-0.8025878,-0.8021472,-0.8014996,-0.8050855,-0.80388,-0.8030356,-0.8027286,-0.8018372,-0.8011876,-0.8033619,-0.8018841,-0.8037862,-0.8079584,-0.8090956,-0.8076535,-0.8105101,-0.8074474,-0.8113453,-0.816976,-0.8160826,-0.8148465
2020-09-19.out.8,10.0,-0.8146517,-0.8102031,-0.8095698,-0.8104275,-0.8092271,-0.808758,-0.808399,-0.8075668,-0.8057984,-0.8022104,-0.8011549,-0.8006481,-0.8005471,-0.7988256,-0.7977232,-0.7961781,-0.7973458,-0.7971796,-0.795915,-0.7958966,-0.7956549,-0.7977303,-0.79838,-0.7952327,-0.7948737,-0.7944331,-0.7940251,-0.793605,-0.791037,-0.7889402,-0.7867638,-0.7863722,-0.7848618,-0.7854482,-0.7874277,-0.7852534,-0.7830117,-0.7855726,-0.7838042,-0.785591,-0.7849577,-0.7845824,-0.7839143,-0.7850679,-0.7827956,-0.7839001,-0.7847231,-0.7847231,-0.7831148,-0.781428,-0.781637,-0.7796717,-0.7790221,-0.7774015,-0.7739422,-0.7718311,-0.7734965,-0.7722299,-0.7733977,-0.7705696,-0.7701779,-0.7691061,-0.7722249,-0.7702106
2020-09-19.out.9,10.0,-0.7668216,-0.7629288,-0.7636743,-0.7680505,-0.7655529,-0.7617723,-0.7600508,-0.758114,-0.7598631,-0.7596663,-0.7585475,-0.7541009,-0.7533177,-0.7538827,-0.7510873,-0.7511362,-0.7498328,-0.7505825,-0.7511648,-0.7518655,-0.7480849,-0.7471894,-0.7470629,-0.7474026,-0.7474311,-0.7490231,-0.7466683,-0.7454984,-0.7448815,-0.7441849,-0.7453527,-0.7442481,-0.7435658,-0.7438892,-0.7414384,-0.7411926,-0.7416944,-0.7417107,-0.7404298,-0.7404298,-0.7416404,-0.7388868,-0.7368419,-0.7395792,-0.7375875,-0.7371469,-0.7362698,-0.7324259,-0.7334437,-0.7302118,-0.7252165,-0.7217082,-0.728017,-0.7228056,-0.7190862,-0.716769,-0.7184998,-0.7185957,-0.7198103,-0.7151342,-0.7097779,-0.7092099,-0.7139166,-0.7119166
