,label,val_0,val_1,val_2,val_3,val_4,val_5,val_6,val_7,val_8,val_9,val_10,val_11,val_12,val_13,val_14,val_15,val_16,val_17,val_18,val_19,val_20,val_21,val_22,val_23,val_24,val_25,val_26,val_27,val_28,val_29,val_30,val_31,val_32,val_33,val_34,val_35,val_36,val_37,val_38,val_39,val_40,val_41,val_42,val_43,val_44,val_45,val_46,val_47,val_48,val_49,val_50,val_51,val_52,val_53,val_54,val_55,val_56,val_57,val_58,val_59,val_60,val_61,val_62,val_63,val_64,val_65,val_66,val_67,val_68,val_69,val_70,val_71,val_72,val_73,val_74,val_75,val_76,val_77,val_78,val_79,val_80,val_81,val_82,val_83,val_84,val_85,val_86,val_87,val_88,val_89,val_90,val_91,val_92,val_93,val_94,val_95,val_96,val_97,val_98,val_99,val_100,val_101,val_102,val_103,val_104,val_105,val_106,val_107,val_108,val_109,val_110,val_111,val_112,val_113,val_114,val_115,val_116,val_117,val_118,val_119,val_120,val_121,val_122,val_123,val_124,val_125,val_126,val_127,val_128,val_129,val_130,val_131,val_132,val_133,val_134,val_135,val_136,val_137,val_138,val_139,val_140,val_141,val_142,val_143,val_144,val_145,val_146,val_147,val_148,val_149,val_150,val_151,val_152,val_153,val_154,val_155,val_156,val_157,val_158,val_159,val_160,val_161,val_162,val_163,val_164,val_165,val_166,val_167,val_168,val_169,val_170,val_171,val_172,val_173,val_174,val_175,val_176,val_177,val_178,val_179,val_180,val_181,val_182,val_183,val_184,val_185,val_186,val_187,val_188,val_189,val_190,val_191
2020-12-15.out.0,4.0,1.3495622,-1.0500052,-0.2959017,1.3495694,-1.0500038,-0.2958946,1.3495622,-1.0500038,-0.2958946,1.3495766,-1.0500038,-0.2959089,1.3495766,-1.0500038,-0.2959089,1.3251154,-1.0526604,-0.2959089,1.3493395,-1.0500297,-0.2959017,1.3493467,-1.050029,-0.2959017,1.3495837,-1.0500038,-0.2959161,1.3495909,-1.0500052,-0.2959305,1.3495622,-1.0500052,-0.2959017,1.3495622,-1.0500052,-0.2959017,1.3495622,-1.050006,-0.2959161,1.349555,-1.0500052,-0.2959017,1.349555,-1.0500052,-0.2958946,1.349555,-1.050006,-0.2959017,1.3495766,-1.0500052,-0.2959161,1.349555,-1.0500067,-0.2959089,1.3495406,-1.0500052,-0.2958802,1.3495478,-1.0500067,-0.2959017,1.3495406,-1.0500052,-0.2958802,1.3495622,-1.0500052,-0.2959089,1.349555,-1.0500052,-0.2958874,1.3495478,-1.0500052,-0.2958874,1.3495622,-1.0500052,-0.2959017,1.349555,-1.0500052,-0.2958946,1.349555,-1.0500052,-0.2958946,1.3495263,-1.0500052,-0.2958658,1.3495191,-1.0500067,-0.2958658,1.3495263,-1.0500052,-0.2958658,1.3495191,-1.0500052,-0.2958586,1.3495694,-1.0500038,-0.2959017,1.3495694,-1.0500038,-0.2959017,1.3495694,-1.0500052,-0.2959089,1.3495335,-1.0500052,-0.295873,1.3495694,-1.0500038,-0.2959017,1.3495837,-1.0500038,-0.2959089,1.3495766,-1.0500052,-0.2959161,1.3495981,-1.0500052,-0.2959377,1.3495909,-1.0500052,-0.2959305,1.3495909,-1.0500052,-0.2959377,1.3495622,-1.0500052,-0.2959017,1.3495478,-1.0500067,-0.2958946,1.3495478,-1.0500067,-0.2958946,1.3495478,-1.0500067,-0.2958946,1.3495406,-1.0500067,-0.2958874,1.349555,-1.0500052,-0.2958946,1.3495191,-1.0500067,-0.295873,1.3495191,-1.0500067,-0.2958658,1.3495406,-1.0500067,-0.2958874,1.3495335,-1.0500067,-0.2958802,1.3495478,-1.050006,-0.2959017,1.3495335,-1.0500067,-0.2958874,1.349555,-1.0500067,-0.2959017,1.349555,-1.0500067,-0.2959089,1.3495909,-1.0500067,-0.2959449,1.3495909,-1.0500052,-0.2959377,1.349555,-1.0500067,-0.2959017,1.3495694,-1.0500067,-0.2959161,1.3495478,-1.0500067,-0.2958946,1.3495622,-1.0500074,-0.2959233,1.3495406,-1.0500067,-0.2958946,1.3495478,-1.0500074,-0.2959089,1.3495766,-1.0500067,-0.2959305
2020-12-15.out.1,4.0,1.3495766,-1.0500074,-0.2959377,1.349555,-1.0500074,-0.2959161,1.3495694,-1.0500074,-0.2959305,1.3495909,-1.0500074,-0.295952,1.349555,-1.0500074,-0.2959161,1.349555,-1.0500074,-0.2959161,1.3495191,-1.0500088,-0.2958874,1.3495406,-1.0500074,-0.2959017,1.3495263,-1.0500088,-0.2958946,1.3495263,-1.0500081,-0.2958946,1.3495406,-1.0500074,-0.2959017,1.3495263,-1.0500081,-0.2958946,1.3495191,-1.0500074,-0.2958802,1.3495191,-1.0500074,-0.2958802,1.3495406,-1.0500074,-0.2959017,1.3495837,-1.0500074,-0.2959449,1.3495406,-1.0500067,-0.2958946,1.3495622,-1.0500074,-0.2959233,1.3495694,-1.0500074,-0.2959305,1.3495622,-1.0500074,-0.2959233,1.3495406,-1.0500088,-0.2959089,1.3495406,-1.0500088,-0.2959161,1.3495694,-1.0500074,-0.2959305,1.3495478,-1.0500081,-0.2959161,1.3495622,-1.0500074,-0.2959233,1.3495191,-1.0500081,-0.2958946,1.3495263,-1.0500088,-0.2958946,1.3495263,-1.0500088,-0.2959017,1.3495191,-1.0500088,-0.2958946,1.3495263,-1.0500088,-0.2958946,1.3495191,-1.0500088,-0.2958946,1.3495119,-1.0500088,-0.2958802,1.3495119,-1.0500088,-0.2958874,1.3495047,-1.0500088,-0.2958802,1.3495191,-1.0500081,-0.2958874,1.3495335,-1.0500074,-0.2958946,1.3495478,-1.0500074,-0.2959089,1.3495694,-1.0500088,-0.2959377,1.3495263,-1.0500081,-0.2958946,1.3495335,-1.0500088,-0.2959089,1.3495263,-1.0500088,-0.2958946,1.3495478,-1.0500088,-0.2959161,1.3495622,-1.0500081,-0.2959305,1.3495335,-1.0500088,-0.2959017,1.3495909,-1.0500088,-0.2959664,1.3495622,-1.0500088,-0.2959377,1.3495335,-1.0500088,-0.2959089,1.3495335,-1.0500096,-0.2959161,1.349555,-1.0500088,-0.2959305,1.3495263,-1.0500096,-0.2959017,1.3495478,-1.0500096,-0.2959305,1.3495406,-1.0500096,-0.2959233,1.3495335,-1.0500096,-0.2959161,1.3495191,-1.050011,-0.2959089,1.3495119,-1.0500096,-0.2958946,1.3495047,-1.0500096,-0.2958874,1.3495335,-1.0500096,-0.2959161,1.3495119,-1.0500096,-0.2958946,1.3494975,-1.0500096,-0.2958802,1.3494904,-1.0500096,-0.295873,1.3495263,-1.0500096,-0.2959017,1.3495119,-1.0500096,-0.2958946,1.3495119,-1.0500088,-0.2958802,1.3495406,-1.0500088,-0.2959089
2020-12-15.out.2,4.0,1.3495119,-1.0500088,-0.2958802,1.3495047,-1.0500088,-0.295873,1.3494832,-1.0500096,-0.2958658,1.3494832,-1.0500088,-0.2958586,1.3494904,-1.0500088,-0.2958586,1.3494904,-1.0500088,-0.2958586,1.3494904,-1.0500088,-0.2958586,1.3495119,-1.0500088,-0.2958802,1.3495047,-1.0500088,-0.295873,1.3494904,-1.0500081,-0.2958586,1.3494975,-1.0500074,-0.2958586,1.3494832,-1.0500074,-0.2958443,1.3494832,-1.0500074,-0.2958443,1.3495047,-1.0500067,-0.2958586,1.3494832,-1.0500067,-0.2958299,1.3494975,-1.0500067,-0.2958443,1.3494832,-1.0500067,-0.2958371,1.3494688,-1.0500074,-0.2958299,1.3494975,-1.0500067,-0.2958443,1.3494832,-1.0500052,-0.2958227,1.3494904,-1.0500052,-0.2958299,1.3495263,-1.0500052,-0.2958658,1.3495478,-1.0500052,-0.2958874,1.3495766,-1.0500038,-0.2959089,1.3496125,-1.0500038,-0.2959449,1.3495837,-1.0500052,-0.2959233,1.349555,-1.0500052,-0.2958946,1.349555,-1.0500052,-0.2958946,1.3495191,-1.0500052,-0.2958586,1.3495478,-1.0500052,-0.2958874,1.3495622,-1.0500052,-0.2959017,1.3495694,-1.0500052,-0.2959089,1.3495191,-1.0500067,-0.2958658,1.3495478,-1.0500067,-0.2958946,1.3495263,-1.0500067,-0.2958802,1.3495263,-1.0500074,-0.2958874,1.3495191,-1.0500074,-0.2958802,1.3495191,-1.0500074,-0.2958802,1.3495263,-1.0500067,-0.295873,1.3495191,-1.0500067,-0.295873,1.3495119,-1.0500067,-0.2958586,1.3494975,-1.050006,-0.2958443,1.3494975,-1.0500074,-0.2958586,1.3494832,-1.0500074,-0.2958443,1.3494832,-1.0500074,-0.2958443,1.3494832,-1.0500067,-0.2958299,1.3494832,-1.0500067,-0.2958299,1.2835135,-1.0571812,-0.2958586,1.283966,-1.0571331,-0.2958658,1.3494832,-1.0500117,-0.2958874,1.3494832,-1.0500117,-0.2958802,1.3494544,-1.0500117,-0.2958586,1.3494616,-1.0500117,-0.2958586,1.3494472,-1.0500132,-0.2958586,1.3494975,-1.0500117,-0.2959017,1.349476,-1.050011,-0.2958658,1.349476,-1.0500117,-0.295873,1.3494975,-1.050011,-0.2958874,1.349476,-1.050011,-0.2958658,1.3494832,-1.050011,-0.295873,1.3495047,-1.050011,-0.2959017,1.3495047,-1.050011,-0.2958946,1.3495119,-1.0500096,-0.2958874,1.3494975,-1.0500117,-0.2959017
2020-12-15.out.3,4.0,1.3494688,-1.050011,-0.2958586,1.349476,-1.050011,-0.2958658,1.3495191,-1.0500117,-0.2959233,1.349555,-1.050011,-0.2959449,1.3495191,-1.0500117,-0.2959233,1.3495119,-1.0500117,-0.2959161,1.349476,-1.0500117,-0.2958802,1.3494832,-1.0500117,-0.2958802,1.3495119,-1.0500117,-0.2959161,1.3494688,-1.0500117,-0.295873,1.3494832,-1.0500117,-0.2958802,1.3494832,-1.0500117,-0.2958802,1.3494616,-1.0500117,-0.2958586,1.3494544,-1.0500132,-0.2958658,1.3494832,-1.0500117,-0.2958874,1.3494688,-1.050011,-0.2958586,1.3495047,-1.050011,-0.2958946,1.3495119,-1.050011,-0.2959017,1.3495119,-1.0500117,-0.2959161,1.3495406,-1.050011,-0.2959377,1.3495119,-1.050011,-0.2959017,1.3495047,-1.0500117,-0.2959089,1.3495047,-1.050011,-0.2958946,1.3494975,-1.0500117,-0.2958946,1.3494688,-1.0500117,-0.295873,1.3494472,-1.0500146,-0.2958658,1.3494472,-1.0500139,-0.2958658,1.3494472,-1.0500146,-0.295873,1.3494401,-1.0500146,-0.2958586,1.3494257,-1.0500153,-0.2958515,1.3494113,-1.0500153,-0.2958443,1.3494041,-1.0500153,-0.2958299,1.3493826,-1.0500153,-0.2958155,1.2812865,-1.0574233,-0.2958515,1.2815954,-1.0573874,-0.2958299,1.3108266,-1.0542064,-0.2958443,1.3430895,-1.0507006,-0.2958299,1.3494616,-1.0500088,-0.2958299,1.3494688,-1.0500074,-0.2958299,1.3494401,-1.0500074,-0.2958012,1.3494329,-1.0500074,-0.2957868,1.3494975,-1.0500074,-0.2958586,1.3495837,-1.0500067,-0.2959377,1.3495766,-1.0500067,-0.2959305,1.3495622,-1.0500067,-0.2959161,1.3495406,-1.0500067,-0.2958874,1.3495047,-1.0500067,-0.2958586,1.3495047,-1.0500074,-0.2958586,1.3494832,-1.0500088,-0.2958515,1.349476,-1.0500074,-0.2958371,1.3494688,-1.0500088,-0.2958371,1.3495335,-1.0500074,-0.2958874,1.3495335,-1.0500074,-0.2958946,1.349476,-1.0500088,-0.2958443,1.3495478,-1.0500081,-0.2959161,1.3495406,-1.0500074,-0.2958946,1.3495335,-1.0500074,-0.2958946,1.3494975,-1.0500081,-0.2958658,1.3495478,-1.0500074,-0.2959017,1.3495191,-1.0500088,-0.2958874,1.3495335,-1.0500088,-0.2959017,1.3494975,-1.0500081,-0.2958658,1.3494832,-1.0500088,-0.2958515,1.3494975,-1.0500088,-0.295873
2020-12-15.out.4,4.0,1.349476,-1.0500096,-0.2958586,1.349476,-1.0500088,-0.2958443,1.349476,-1.0500081,-0.2958371,1.3495047,-1.0500074,-0.2958658,1.349476,-1.0500081,-0.2958443,1.3494975,-1.0500074,-0.2958586,1.3494688,-1.0500074,-0.2958299,1.349476,-1.0500067,-0.2958227,1.3494401,-1.0500074,-0.2958012,1.349476,-1.0500067,-0.2958227,1.3494832,-1.0500067,-0.2958299,1.3494544,-1.0500067,-0.2958012,1.3494975,-1.0500052,-0.2958371,1.3494832,-1.0500052,-0.2958227,1.3494688,-1.0500052,-0.2958084,1.3494472,-1.0500052,-0.2957868,1.3494832,-1.0500052,-0.2958227,1.3494688,-1.0500038,-0.295794,1.3494616,-1.0500052,-0.2958012,1.3494688,-1.0500038,-0.295794,1.3494544,-1.0500038,-0.2957796,1.3494904,-1.0500031,-0.2958084,1.3494832,-1.0500067,-0.2958299,1.3494904,-1.0500052,-0.2958299,1.3495406,-1.0500031,-0.2958586,1.3495406,-1.0500017,-0.2958443,1.3495335,-1.0500031,-0.2958515,1.3495406,-1.0500038,-0.2958658,1.3495119,-1.0500031,-0.2958299,1.3495335,-1.0500031,-0.2958515,1.3494832,-1.0500038,-0.2958084,1.3495119,-1.0500038,-0.2958443,1.349555,-1.0500038,-0.2958874,1.3495622,-1.0500038,-0.2958874,1.3495191,-1.0500038,-0.2958443,1.3495335,-1.0500038,-0.2958586,1.3495406,-1.0500038,-0.2958658,1.3495622,-1.0500052,-0.2959017,1.3495263,-1.0500052,-0.2958586,1.3495119,-1.0500052,-0.2958515,1.3495406,-1.0500052,-0.2958802,1.3494975,-1.0500067,-0.2958515,1.3495191,-1.0500052,-0.2958586,1.3494904,-1.0500067,-0.2958371,1.3494904,-1.0500074,-0.2958443,1.349476,-1.0500074,-0.2958299,1.3494616,-1.050006,-0.2958084,1.3494616,-1.0500067,-0.2958084,1.3494257,-1.0500074,-0.2957868,1.3494185,-1.0500067,-0.2957653,1.3494257,-1.0500067,-0.2957724,1.3494688,-1.050006,-0.2958155,1.3495478,-1.0500052,-0.2958874,1.3495191,-1.0500052,-0.2958586,1.3495263,-1.0500052,-0.2958658,1.3494904,-1.0500038,-0.2958155,1.3494832,-1.0500052,-0.2958227,1.3495047,-1.0500067,-0.2958515,1.3495119,-1.0500067,-0.2958586,1.3494616,-1.0500052,-0.295794,1.3495119,-1.0500067,-0.2958586,1.3495047,-1.050006,-0.2958515,1.3495119,-1.0500052,-0.2958443,1.3495119,-1.0500052,-0.2958515
2020-12-15.out.5,4.0,1.3495119,-1.050006,-0.2958586,1.3495191,-1.0500067,-0.295873,1.3494616,-1.0500052,-0.2958012,1.3494616,-1.0500052,-0.2958012,1.3494257,-1.0500067,-0.2957724,1.3494832,-1.0500052,-0.2958227,1.349476,-1.0500052,-0.2958155,1.3494904,-1.0500052,-0.2958227,1.3494472,-1.0500052,-0.2957868,1.3494688,-1.0500052,-0.2958084,1.3494544,-1.0500038,-0.2957868,1.3494185,-1.0500052,-0.2957509,1.3494401,-1.0500052,-0.2957796,1.3494975,-1.0500038,-0.2958227,1.3494616,-1.0500038,-0.2957868,1.3494832,-1.0500038,-0.2958084,1.3495263,-1.0500031,-0.2958443,1.3494975,-1.0500031,-0.2958155,1.3495335,-1.0500031,-0.2958443,1.3494975,-1.0500031,-0.2958155,1.3494904,-1.0500031,-0.2958084,1.3495406,-1.0500031,-0.2958586,1.3495478,-1.0500031,-0.2958586,1.3495263,-1.0500031,-0.2958443,1.3494832,-1.0500038,-0.2958084,1.3494544,-1.0500038,-0.2957796,1.3494688,-1.0500038,-0.295794,1.3494544,-1.0500052,-0.2957868,1.3494472,-1.0500038,-0.2957724,1.349476,-1.0500052,-0.2958084,1.3494401,-1.0500052,-0.2957796,1.3494544,-1.0500038,-0.2957796,1.3494616,-1.0500038,-0.2957868,1.3494401,-1.0500038,-0.2957653,1.3494616,-1.0500031,-0.2957724,1.3495191,-1.0500038,-0.2958515,1.349476,-1.0500038,-0.2958012,1.3495119,-1.0500031,-0.2958299,1.3495335,-1.0500031,-0.2958515,1.3495047,-1.0500031,-0.2958227,1.3495047,-1.0500031,-0.2958227,1.3494975,-1.0500031,-0.2958155,1.3494688,-1.0500038,-0.295794,1.3494975,-1.0500031,-0.2958155,1.349476,-1.0500038,-0.2958084,1.3494832,-1.0500038,-0.2958084,1.3494832,-1.0500031,-0.2958012,1.349476,-1.0500031,-0.2957868,1.3494472,-1.0500038,-0.2957724,1.3494329,-1.0500038,-0.2957509,1.3494113,-1.0500038,-0.2957365,1.3494257,-1.0500031,-0.2957365,1.3494975,-1.0500031,-0.2958084,1.3494904,-1.0500031,-0.2958084,1.3494832,-1.0500017,-0.2957868,1.3494472,-1.0500017,-0.2957509,1.3494472,-1.0500031,-0.2957581,1.3494616,-1.0500017,-0.2957653,1.3494472,-1.0500017,-0.2957509,1.3494688,-1.0500017,-0.2957724,1.3494975,-1.0500017,-0.2958084,1.3494904,-1.0500017,-0.295794,1.3494544,-1.0500017,-0.2957581,1.3494616,-1.0500009,-0.2957581
2020-12-15.out.6,4.0,1.3494472,-1.0500017,-0.2957509,1.3494688,-1.0500017,-0.2957796,1.3494688,-1.0500009,-0.2957581,1.3494472,-1.0500017,-0.2957509,1.3494472,-1.0500017,-0.2957509,1.3494975,-1.0500009,-0.295794,1.349476,-1.0500017,-0.2957796,1.3494616,-1.0500017,-0.2957653,1.3494544,-1.0500017,-0.2957581,1.3494688,-1.0500009,-0.2957581,1.3494472,-1.0500009,-0.2957437,1.3494616,-1.0500009,-0.2957581,1.3494688,-1.0500009,-0.2957653,1.349476,-1.0500009,-0.2957724,1.349476,-1.0500009,-0.2957724,1.3494904,-1.0500009,-0.2957868,1.3494904,-1.0500009,-0.2957868,1.3494616,-1.0500009,-0.2957581,1.3494688,-1.0500009,-0.2957653,1.3494185,-1.0500017,-0.2957221,1.2809919,-1.0574413,-0.2957078,1.2789086,-1.0576654,-0.2956862,1.2815954,-1.0573723,-0.2956862,1.3488797,-1.0500577,-0.2956934,1.3494401,-1.0499973,-0.2957006,1.3495119,-1.0499973,-0.2957724,1.3495119,-1.0499973,-0.2957724,1.3495406,-1.0499966,-0.295794,1.3494975,-1.0499966,-0.2957509,1.3494904,-1.0499973,-0.2957509,1.3494904,-1.0499966,-0.2957437,1.3494832,-1.0499966,-0.2957365,1.3494832,-1.0499973,-0.2957509,1.3495047,-1.0499973,-0.2957724,1.3495263,-1.0499966,-0.2957796,1.3495119,-1.0499966,-0.2957653,1.3495263,-1.0499973,-0.2957868,1.3495047,-1.0499973,-0.2957653,1.3494975,-1.0499973,-0.2957581,1.3494832,-1.0499973,-0.2957437,1.3494832,-1.0499973,-0.2957437,1.349476,-1.0499973,-0.2957365,1.3495047,-1.0499973,-0.2957653,1.349476,-1.0499973,-0.2957437,1.3494688,-1.0499973,-0.2957293,1.3494257,-1.0499973,-0.2956862,1.3494329,-1.0499966,-0.2956862,1.3494472,-1.0499966,-0.2957006,1.3494257,-1.0499966,-0.295679,1.3494113,-1.0499952,-0.2956503,1.3494185,-1.0499938,-0.2956503,1.3494257,-1.0499952,-0.2956647,1.2801729,-1.0575311,-0.295715,1.3242461,-1.0527366,-0.2957293,1.3242605,-1.0527323,-0.2957078,1.2808913,-1.0574521,-0.295715,1.3143396,-1.0538098,-0.2957006,1.3495191,-1.0499952,-0.2957581,1.3494616,-1.0499966,-0.295715,1.3494832,-1.0499966,-0.2957365,1.3495119,-1.0499966,-0.2957653,1.3489516,-1.0500541,-0.2957437,1.3494688,-1.0499966,-0.2957221,1.3494544,-1.0499973,-0.295715
2020-12-15.out.7,4.0,1.3495119,-1.0499966,-0.2957653,1.3495263,-1.0499973,-0.2957868,1.3494832,-1.0499973,-0.2957509,1.349476,-1.0499988,-0.2957509,1.3495047,-1.0499973,-0.2957653,1.3494472,-1.0499988,-0.2957221,1.3494544,-1.0499995,-0.2957365,1.2840954,-1.0571015,-0.2956934,1.3440665,-1.0505764,-0.2956575,1.3493682,-1.0500009,-0.2956575,1.3493826,-1.0500009,-0.295679,1.3493898,-1.0499995,-0.2956719,1.3493826,-1.0499995,-0.2956575,1.3493395,-1.0499995,-0.2956216,1.3493539,-1.0499988,-0.2956288,1.349397,-1.0499988,-0.2956647,1.3494401,-1.0499988,-0.295715,1.3494401,-1.0499988,-0.2957078,1.3494329,-1.0499973,-0.2957006,1.349397,-1.0499973,-0.2956575,1.349361,-1.0499973,-0.2956216,1.349361,-1.0499973,-0.2956216,1.3493898,-1.0499966,-0.2956359,1.3493395,-1.0499966,-0.2955928,1.3494616,-1.0499966,-0.2957078,1.349476,-1.0499952,-0.295715,1.3494688,-1.0499938,-0.2957078,1.3494472,-1.0499966,-0.2956934,1.3494616,-1.0499952,-0.2957078,1.3494401,-1.0499952,-0.295679,1.3494329,-1.0499938,-0.2956575,1.3494472,-1.0499952,-0.2956862,1.3494257,-1.0499952,-0.2956647,1.3494472,-1.0499938,-0.295679,1.3494113,-1.0499938,-0.2956431,1.3494185,-1.0499952,-0.2956575,1.3494401,-1.0499938,-0.2956647,1.3494185,-1.0499938,-0.2956431,1.349397,-1.0499938,-0.2956288,1.349397,-1.049993,-0.2956144,1.349397,-1.049993,-0.2956144,1.3494257,-1.049993,-0.2956503,1.3494113,-1.049993,-0.2956288,1.3494257,-1.0499916,-0.2956359,1.3493898,-1.0499916,-0.2956,1.3494113,-1.0499909,-0.2956144,1.3494113,-1.0499909,-0.2956144,1.3494472,-1.0499909,-0.2956431,1.349476,-1.0499909,-0.295679,1.3495047,-1.0499909,-0.2957078,1.3494904,-1.0499909,-0.2956862,1.3494257,-1.0499909,-0.2956288,1.3494329,-1.0499909,-0.2956359,1.3494472,-1.0499894,-0.2956359,1.3494401,-1.0499909,-0.2956359,1.3494472,-1.0499894,-0.2956359,1.3494185,-1.0499909,-0.2956144,1.3493898,-1.0499909,-0.2955928,1.349397,-1.0499894,-0.2955785,1.3493898,-1.0499909,-0.2955857,1.3494041,-1.0499909,-0.2956,1.349361,-1.0499909,-0.2955569,1.3493539,-1.0499894,-0.2955426,1.3493539,-1.0499894,-0.2955426
2020-12-15.out.8,4.0,1.3493395,-1.0499894,-0.2955282,1.3493754,-1.0499894,-0.2955641,1.3494113,-1.0499887,-0.2955857,1.3494401,-1.0499873,-0.2956072,1.3494401,-1.0499873,-0.2956072,1.349476,-1.0499866,-0.2956359,1.3495047,-1.0499873,-0.2956719,1.3495119,-1.0499866,-0.2956719,1.3495047,-1.0499873,-0.2956719,1.3494688,-1.0499873,-0.2956359,1.3494616,-1.0499873,-0.2956288,1.3494041,-1.0499887,-0.2955785,1.3494113,-1.0499887,-0.2955928,1.3495119,-1.0499873,-0.295679,1.3495837,-1.0499887,-0.2957653,1.3495406,-1.0499887,-0.2957221,1.3495478,-1.0499894,-0.2957365,1.3495263,-1.0499894,-0.295715,1.3495119,-1.0499894,-0.2957078,1.349476,-1.0499909,-0.295679,1.3494544,-1.0499909,-0.2956503,1.3494472,-1.0499909,-0.2956503,1.3494544,-1.0499909,-0.2956503,1.3494616,-1.0499916,-0.2956719,1.3494688,-1.0499916,-0.295679,1.3494401,-1.0499909,-0.2956359,1.349397,-1.0499916,-0.2956,1.3494113,-1.0499916,-0.2956216,1.3494472,-1.0499916,-0.2956575,1.3494616,-1.0499916,-0.2956719,1.3494616,-1.0499916,-0.2956719,1.3494401,-1.0499916,-0.2956503,1.3494329,-1.0499916,-0.2956431,1.3494113,-1.0499916,-0.2956144,1.3494041,-1.0499916,-0.2956144,1.3494185,-1.0499909,-0.2956144,1.3494329,-1.0499916,-0.2956431,1.3494472,-1.0499909,-0.2956503,1.3494257,-1.0499916,-0.2956359,1.3494329,-1.0499916,-0.2956431,1.3494257,-1.0499916,-0.2956359,1.3494113,-1.0499916,-0.2956216,1.3494041,-1.0499909,-0.2956,1.3494401,-1.0499909,-0.2956359,1.3494329,-1.0499916,-0.2956431,1.3494832,-1.0499916,-0.2956934,1.3494904,-1.0499909,-0.2956934,1.349476,-1.0499916,-0.2956862,1.3494688,-1.0499909,-0.2956719,1.349476,-1.0499909,-0.295679,1.3494688,-1.0499916,-0.295679,1.3494329,-1.0499909,-0.2956288,1.3494329,-1.0499909,-0.2956359,1.3494401,-1.0499916,-0.2956503,1.349397,-1.0499916,-0.2956072,1.3494113,-1.0499916,-0.2956144,1.3493826,-1.0499916,-0.2955857,1.349361,-1.0499916,-0.2955713,1.3493251,-1.0499916,-0.2955354,1.3493539,-1.0499909,-0.2955497,1.3493539,-1.0499909,-0.2955497,1.3493826,-1.0499909,-0.2955785,1.3494041,-1.0499894,-0.2955857,1.3494472,-1.0499894,-0.2956359
2020-12-15.out.9,4.0,1.3494616,-1.0499894,-0.2956503,1.3494041,-1.0499894,-0.2955857,1.3494832,-1.0499887,-0.2956575,1.3494904,-1.0499887,-0.2956719,1.3494975,-1.0499887,-0.295679,1.3494832,-1.0499887,-0.2956647,1.3494904,-1.0499887,-0.2956719,1.3495047,-1.0499894,-0.2956934,1.3494904,-1.0499909,-0.2956862,1.349476,-1.0499894,-0.2956647,1.3494688,-1.0499894,-0.2956575,1.3494113,-1.0499909,-0.2956144,1.3494257,-1.0499909,-0.2956216,1.3494041,-1.0499909,-0.2956072,1.3494616,-1.0499909,-0.2956575,1.3493898,-1.0499916,-0.2956,1.3494113,-1.0499909,-0.2956144,1.3493898,-1.0499916,-0.2955928,1.3493395,-1.0499916,-0.2955497,1.3493682,-1.0499909,-0.2955641,1.3494041,-1.0499909,-0.2956,1.3494472,-1.0499909,-0.2956431,1.3494329,-1.0499894,-0.2956216,1.3494329,-1.0499894,-0.2956216,1.3494544,-1.0499894,-0.2956431,1.3494544,-1.0499894,-0.2956431,1.3494401,-1.0499894,-0.2956288,1.3493898,-1.0499894,-0.2955785,1.3493539,-1.0499894,-0.2955426,1.3493754,-1.0499894,-0.2955641,1.3493754,-1.0499894,-0.2955569,1.3493467,-1.0499887,-0.295521,1.3493682,-1.0499887,-0.2955426,1.349361,-1.0499887,-0.2955354,1.3493898,-1.0499873,-0.2955569,1.3493395,-1.0499873,-0.2955066,1.3493323,-1.0499859,-0.2954851,1.3493467,-1.0499859,-0.2954994,1.3493467,-1.0499859,-0.2954994,1.3493108,-1.0499851,-0.2954563,1.3493323,-1.0499851,-0.2954707,1.3493323,-1.0499837,-0.2954635,1.3493323,-1.0499837,-0.2954707,1.3493323,-1.049983,-0.2954492,1.3493395,-1.0499815,-0.2954492,1.3493323,-1.0499815,-0.295442,1.3493251,-1.0499815,-0.2954348,1.3492892,-1.0499808,-0.2953917,1.3493179,-1.0499808,-0.2954204,1.3493323,-1.0499794,-0.2954276,1.349361,-1.0499794,-0.2954492,1.3493682,-1.0499787,-0.2954492,1.349397,-1.0499794,-0.2954923,1.349397,-1.0499787,-0.2954779,1.3494185,-1.0499772,-0.2954851,1.3494113,-1.0499772,-0.2954779,1.3494185,-1.0499772,-0.2954851,1.3494041,-1.0499772,-0.2954779,1.3494329,-1.0499772,-0.2954994,1.3494257,-1.0499772,-0.2954994,1.3494616,-1.0499787,-0.2955497,1.3494544,-1.0499772,-0.2955282,1.3494329,-1.0499772,-0.2955066,1.3494185,-1.0499787,-0.2954994
