,files,choice
0,OBSEA/2023-10-21.out,7
1,OBSEA/2023-11-06.out,0
2,OBSEA/2022-03-15.out,2
3,OBSEA/2022-03-02.out,2
4,OBSEA/2022-03-28.out,0
5,OBSEA/2023-07-28.out,7
6,OBSEA/2022-10-13.out,7
7,OBSEA/2022-04-09.out,0
8,OBSEA/2023-10-11.out,6
9,OBSEA/2023-08-24.out,7
10,OBSEA/2022-07-31.out,7
11,OBSEA/2022-03-07.out,2
12,OBSEA/2022-12-20.out,5
13,OBSEA/2022-08-07.out,6
14,OBSEA/2023-11-05.out,0
15,OBSEA/2023-04-26.out,2
16,OBSEA/2023-06-21.out,7
17,OBSEA/2022-09-06.out,7
18,OBSEA/2022-03-06.out,2
19,OBSEA/2022-05-14.out,5
20,OBSEA/2023-05-16.out,0
21,OBSEA/2023-07-30.out,7
22,OBSEA/2022-01-12.out,0
23,OBSEA/2022-09-26.out,7
24,OBSEA/2022-09-27.out,6
25,OBSEA/2023-06-23.out,6
26,OBSEA/2023-10-25.out,7
27,OBSEA/2023-08-16.out,7
28,OBSEA/2022-10-15.out,6
29,OBSEA/2023-08-18.out,7
30,OBSEA/2023-09-28.out,6
31,OBSEA/2022-05-07.out,5
32,OBSEA/2022-01-02.out,0
33,OBSEA/2023-05-01.out,4
34,OBSEA/2022-07-26.out,6
35,OBSEA/2023-05-31.out,5
36,OBSEA/2022-07-02.out,7
37,OBSEA/2023-08-20.out,7
38,OBSEA/2023-02-09.out,6
39,OBSEA/2022-08-17.out,7
40,OBSEA/2022-02-21.out,2
41,OBSEA/2023-09-08.out,7
42,OBSEA/2023-04-21.out,2
43,OBSEA/2023-09-22.out,7
44,OBSEA/2022-04-20.out,0
45,OBSEA/2022-10-12.out,7
46,OBSEA/2023-08-28.out,7
47,OBSEA/2023-09-26.out,7
48,OBSEA/2023-05-15.out,0
49,OBSEA/2023-03-09.out,1
50,OBSEA/2023-01-02.out,5
51,OBSEA/2023-11-07.out,0
52,OBSEA/2023-04-17.out,2
53,OBSEA/2022-08-29.out,7
54,OBSEA/2023-05-08.out,4
55,OBSEA/2023-05-29.out,4
56,OBSEA/2023-06-14.out,5
57,OBSEA/2022-01-25.out,0
58,OBSEA/2022-10-06.out,6
59,OBSEA/2023-01-05.out,2
60,OBSEA/2023-02-20.out,6
61,OBSEA/2023-09-13.out,7
62,OBSEA/2023-02-15.out,6
63,OBSEA/2023-09-03.out,7
64,OBSEA/2022-08-31.out,7
65,OBSEA/2023-04-07.out,2
66,OBSEA/2023-07-12.out,7
67,OBSEA/2022-08-30.out,7
68,OBSEA/2022-01-08.out,0
69,OBSEA/2022-03-08.out,2
70,OBSEA/2023-06-08.out,5
71,OBSEA/2023-10-12.out,6
72,OBSEA/2023-10-05.out,6
73,OBSEA/2022-10-01.out,6
74,OBSEA/2022-02-15.out,2
75,OBSEA/2022-08-03.out,6
76,OBSEA/2022-02-24.out,2
77,OBSEA/2022-08-14.out,7
78,OBSEA/2022-09-29.out,6
79,OBSEA/2022-08-04.out,6
80,OBSEA/2023-08-10.out,7
81,OBSEA/2023-09-07.out,7
82,OBSEA/2022-07-25.out,7
83,OBSEA/2023-10-23.out,6
84,OBSEA/2023-09-04.out,7
85,OBSEA/2023-09-02.out,7
86,OBSEA/2022-08-06.out,6
87,OBSEA/2022-04-26.out,0
88,OBSEA/2022-05-03.out,5
89,OBSEA/2022-04-02.out,0
90,OBSEA/2023-08-15.out,7
91,OBSEA/2022-12-22.out,5
92,OBSEA/2022-03-24.out,6
93,OBSEA/2023-04-14.out,2
94,OBSEA/2022-03-21.out,6
95,OBSEA/2023-08-21.out,7
96,OBSEA/2022-03-27.out,0
97,OBSEA/2022-07-24.out,6
98,OBSEA/2023-02-03.out,1
99,OBSEA/2022-01-20.out,0
100,OBSEA/2023-05-20.out,0
101,OBSEA/2023-01-08.out,2
102,OBSEA/2022-09-05.out,7
103,OBSEA/2023-10-18.out,7
104,OBSEA/2022-01-17.out,0
105,OBSEA/2022-09-18.out,7
106,OBSEA/2023-10-10.out,0
107,OBSEA/2022-06-02.out,5
108,OBSEA/2023-07-18.out,6
109,OBSEA/2022-08-09.out,6
110,OBSEA/2022-09-01.out,7
111,OBSEA/2023-01-22.out,2
112,OBSEA/2022-12-27.out,5
113,OBSEA/2023-05-18.out,0
114,OBSEA/2023-10-14.out,6
115,OBSEA/2022-02-13.out,2
116,OBSEA/2022-05-13.out,5
117,OBSEA/2022-07-04.out,7
118,OBSEA/2022-04-08.out,0
119,OBSEA/2023-10-03.out,6
120,OBSEA/2022-04-12.out,0
121,OBSEA/2022-07-15.out,7
122,OBSEA/2022-07-28.out,6
123,OBSEA/2022-01-29.out,2
124,OBSEA/2022-01-10.out,0
125,OBSEA/2023-05-12.out,4
126,OBSEA/2022-08-10.out,6
127,OBSEA/2023-02-27.out,2
128,OBSEA/2023-04-15.out,2
129,OBSEA/2022-02-23.out,2
130,OBSEA/2022-04-16.out,0
131,OBSEA/2023-08-27.out,7
132,OBSEA/2023-03-24.out,2
133,OBSEA/2022-12-23.out,5
134,OBSEA/2022-09-12.out,7
135,OBSEA/2023-05-10.out,4
136,OBSEA/2023-03-25.out,2
137,OBSEA/2022-03-23.out,6
138,OBSEA/2022-04-28.out,2
139,OBSEA/2023-02-28.out,2
140,OBSEA/2022-07-09.out,6
141,OBSEA/2023-08-05.out,7
142,OBSEA/2022-02-22.out,2
143,OBSEA/2023-03-17.out,1
144,OBSEA/2023-04-20.out,2
145,OBSEA/2022-03-30.out,0
146,OBSEA/2023-02-16.out,6
147,OBSEA/2022-02-25.out,2
148,OBSEA/2022-12-31.out,5
149,OBSEA/2023-06-04.out,4
150,OBSEA/2023-04-01.out,2
151,OBSEA/2023-08-02.out,7
152,OBSEA/2023-03-22.out,2
153,OBSEA/2022-12-17.out,5
154,OBSEA/2022-01-28.out,2
155,OBSEA/2022-09-04.out,7
156,OBSEA/2023-02-08.out,6
157,OBSEA/2022-02-16.out,2
158,OBSEA/2023-06-28.out,6
159,OBSEA/2023-06-26.out,6
160,OBSEA/2022-04-24.out,0
161,OBSEA/2023-06-24.out,6
162,OBSEA/2022-04-03.out,0
163,OBSEA/2023-03-13.out,1
164,OBSEA/2022-08-13.out,7
165,OBSEA/2023-02-11.out,6
166,OBSEA/2022-08-16.out,6
167,OBSEA/2023-09-27.out,7
168,OBSEA/2022-05-19.out,5
169,OBSEA/2023-10-24.out,7
170,OBSEA/2022-01-14.out,0
171,OBSEA/2023-03-18.out,1
172,OBSEA/2022-05-18.out,5
173,OBSEA/2022-09-03.out,7
174,OBSEA/2023-07-25.out,7
175,OBSEA/2022-05-22.out,2
176,OBSEA/2022-02-19.out,2
177,OBSEA/2023-04-09.out,2
178,OBSEA/2023-07-27.out,7
179,OBSEA/2023-05-05.out,6
180,OBSEA/2022-03-25.out,6
181,OBSEA/2023-04-18.out,2
182,OBSEA/2023-04-02.out,2
183,OBSEA/2023-09-12.out,7
184,OBSEA/2023-03-11.out,1
185,OBSEA/2023-10-17.out,7
186,OBSEA/2022-02-08.out,2
187,OBSEA/2023-01-26.out,1
188,OBSEA/2022-07-06.out,7
189,OBSEA/2023-05-21.out,0
190,OBSEA/2023-03-12.out,1
191,OBSEA/2023-03-29.out,2
192,OBSEA/2022-09-09.out,6
193,OBSEA/2023-07-31.out,7
194,OBSEA/2023-08-26.out,7
195,OBSEA/2023-10-13.out,6
196,OBSEA/2022-01-23.out,0
