,files,choice
0,OBSEA/2023-10-21.out,6
1,OBSEA/2023-11-06.out,4
2,OBSEA/2022-03-15.out,4
3,OBSEA/2022-03-02.out,4
4,OBSEA/2022-03-28.out,7
5,OBSEA/2023-07-28.out,7
6,OBSEA/2022-10-13.out,6
7,OBSEA/2022-04-09.out,7
8,OBSEA/2023-10-11.out,6
9,OBSEA/2023-08-24.out,7
10,OBSEA/2022-07-31.out,7
11,OBSEA/2022-03-07.out,4
12,OBSEA/2022-12-20.out,4
13,OBSEA/2022-08-07.out,6
14,OBSEA/2023-11-05.out,4
15,OBSEA/2023-04-26.out,4
16,OBSEA/2023-06-21.out,6
17,OBSEA/2022-09-06.out,7
18,OBSEA/2022-03-06.out,4
19,OBSEA/2022-05-14.out,5
20,OBSEA/2023-05-16.out,4
21,OBSEA/2023-07-30.out,7
22,OBSEA/2022-01-12.out,7
23,OBSEA/2022-09-26.out,7
24,OBSEA/2022-09-27.out,6
25,OBSEA/2023-06-23.out,0
26,OBSEA/2023-10-25.out,6
27,OBSEA/2023-08-16.out,7
28,OBSEA/2022-10-15.out,6
29,OBSEA/2023-08-18.out,7
30,OBSEA/2023-09-28.out,6
31,OBSEA/2022-05-07.out,4
32,OBSEA/2022-01-02.out,7
33,OBSEA/2023-05-01.out,4
34,OBSEA/2022-07-26.out,6
35,OBSEA/2023-05-31.out,5
36,OBSEA/2022-07-02.out,6
37,OBSEA/2023-08-20.out,7
38,OBSEA/2023-02-09.out,4
39,OBSEA/2022-08-17.out,7
40,OBSEA/2022-02-21.out,4
41,OBSEA/2023-09-08.out,7
42,OBSEA/2023-04-21.out,4
43,OBSEA/2023-09-22.out,6
44,OBSEA/2022-04-20.out,1
45,OBSEA/2022-10-12.out,6
46,OBSEA/2023-08-28.out,7
47,OBSEA/2023-09-26.out,6
48,OBSEA/2023-05-15.out,4
49,OBSEA/2023-03-09.out,4
50,OBSEA/2023-01-02.out,4
51,OBSEA/2023-11-07.out,4
52,OBSEA/2023-04-17.out,4
53,OBSEA/2022-08-29.out,7
54,OBSEA/2023-05-08.out,4
55,OBSEA/2023-05-29.out,5
56,OBSEA/2023-06-14.out,5
57,OBSEA/2022-01-25.out,7
58,OBSEA/2022-10-06.out,6
59,OBSEA/2023-01-05.out,4
60,OBSEA/2023-02-20.out,4
61,OBSEA/2023-09-13.out,7
62,OBSEA/2023-02-15.out,4
63,OBSEA/2023-09-03.out,7
64,OBSEA/2022-08-31.out,7
65,OBSEA/2023-04-07.out,4
66,OBSEA/2023-07-12.out,6
67,OBSEA/2022-08-30.out,7
68,OBSEA/2022-01-08.out,7
69,OBSEA/2022-03-08.out,4
70,OBSEA/2023-06-08.out,5
71,OBSEA/2023-10-12.out,6
72,OBSEA/2023-10-05.out,6
73,OBSEA/2022-10-01.out,6
74,OBSEA/2022-02-15.out,4
75,OBSEA/2022-08-03.out,6
76,OBSEA/2022-02-24.out,4
77,OBSEA/2022-08-14.out,6
78,OBSEA/2022-09-29.out,6
79,OBSEA/2022-08-04.out,6
80,OBSEA/2023-08-10.out,7
81,OBSEA/2023-09-07.out,7
82,OBSEA/2022-07-25.out,6
83,OBSEA/2023-10-23.out,6
84,OBSEA/2023-09-04.out,7
85,OBSEA/2023-09-02.out,7
86,OBSEA/2022-08-06.out,6
87,OBSEA/2022-04-26.out,0
88,OBSEA/2022-05-03.out,4
89,OBSEA/2022-04-02.out,7
90,OBSEA/2023-08-15.out,7
91,OBSEA/2022-12-22.out,5
92,OBSEA/2022-03-24.out,7
93,OBSEA/2023-04-14.out,4
94,OBSEA/2022-03-21.out,4
95,OBSEA/2023-08-21.out,7
96,OBSEA/2022-03-27.out,7
97,OBSEA/2022-07-24.out,6
98,OBSEA/2023-02-03.out,4
99,OBSEA/2022-01-20.out,7
