,files,choice
0,OBSEA/2023-03-22.out,5
1,OBSEA/2022-05-16.out,5
2,OBSEA/2022-02-06.out,3
3,OBSEA/2023-02-06.out,5
4,OBSEA/2022-01-27.out,3
5,OBSEA/2022-07-01.out,7
6,OBSEA/2023-03-28.out,5
7,OBSEA/2023-02-24.out,3
8,OBSEA/2023-08-08.out,7
9,OBSEA/2022-09-10.out,7
10,OBSEA/2023-01-02.out,3
11,OBSEA/2022-05-22.out,5
12,OBSEA/2023-04-16.out,5
13,OBSEA/2022-12-28.out,3
14,OBSEA/2023-10-22.out,5
15,OBSEA/2023-10-16.out,7
16,OBSEA/2022-09-09.out,7
17,OBSEA/2022-09-13.out,7
18,OBSEA/2022-05-29.out,4
19,OBSEA/2023-06-16.out,5
20,OBSEA/2022-05-30.out,4
21,OBSEA/2023-07-27.out,7
22,OBSEA/2023-04-15.out,5
23,OBSEA/2023-02-10.out,5
24,OBSEA/2023-03-13.out,5
25,OBSEA/2022-05-02.out,5
26,OBSEA/2022-12-23.out,3
27,OBSEA/2023-07-25.out,7
28,OBSEA/2022-12-29.out,3
29,OBSEA/2022-12-24.out,3
30,OBSEA/2023-05-25.out,5
31,OBSEA/2022-03-01.out,3
32,OBSEA/2022-12-21.out,3
33,OBSEA/2022-05-13.out,5
34,OBSEA/2022-09-07.out,7
35,OBSEA/2022-04-09.out,0
36,OBSEA/2022-03-13.out,3
37,OBSEA/2023-11-06.out,3
38,OBSEA/2023-06-24.out,7
39,OBSEA/2023-04-26.out,5
40,OBSEA/2023-11-07.out,3
41,OBSEA/2023-09-14.out,7
42,OBSEA/2022-09-25.out,7
43,OBSEA/2023-09-26.out,7
44,OBSEA/2022-04-02.out,0
45,OBSEA/2022-09-14.out,7
46,OBSEA/2022-12-18.out,5
47,OBSEA/2023-09-13.out,7
48,OBSEA/2023-08-22.out,7
49,OBSEA/2023-07-22.out,7
50,OBSEA/2022-08-26.out,7
51,OBSEA/2023-06-06.out,5
52,OBSEA/2022-02-20.out,3
53,OBSEA/2022-08-31.out,7
54,OBSEA/2022-03-31.out,0
55,OBSEA/2022-02-11.out,3
56,OBSEA/2023-04-24.out,5
57,OBSEA/2022-07-06.out,7
58,OBSEA/2023-02-28.out,3
59,OBSEA/2022-02-02.out,3
60,OBSEA/2022-08-06.out,7
61,OBSEA/2023-01-28.out,5
62,OBSEA/2023-02-16.out,5
63,OBSEA/2022-01-08.out,0
64,OBSEA/2022-08-21.out,7
65,OBSEA/2023-10-23.out,6
66,OBSEA/2023-09-01.out,7
67,OBSEA/2023-08-28.out,7
68,OBSEA/2023-02-02.out,5
69,OBSEA/2022-04-17.out,0
70,OBSEA/2022-03-11.out,3
71,OBSEA/2022-07-27.out,7
72,OBSEA/2022-08-01.out,7
73,OBSEA/2023-02-12.out,5
74,OBSEA/2022-03-24.out,0
75,OBSEA/2022-09-04.out,7
76,OBSEA/2023-10-08.out,0
77,OBSEA/2022-02-03.out,3
78,OBSEA/2022-05-18.out,5
79,OBSEA/2023-10-06.out,6
80,OBSEA/2022-03-23.out,0
81,OBSEA/2022-07-02.out,7
