,files,choice
0,OBSEA/2023-03-22.out,4
1,OBSEA/2022-05-16.out,1
2,OBSEA/2022-02-06.out,4
3,OBSEA/2023-02-06.out,4
4,OBSEA/2022-01-27.out,4
5,OBSEA/2022-07-01.out,1
6,OBSEA/2023-03-28.out,4
7,OBSEA/2023-02-24.out,1
8,OBSEA/2023-08-08.out,0
9,OBSEA/2022-09-10.out,4
10,OBSEA/2023-01-02.out,4
11,OBSEA/2022-05-22.out,1
12,OBSEA/2023-04-16.out,4
13,OBSEA/2022-12-28.out,4
14,OBSEA/2023-10-22.out,1
15,OBSEA/2023-10-16.out,1
16,OBSEA/2022-09-09.out,4
17,OBSEA/2022-09-13.out,4
18,OBSEA/2022-05-29.out,5
19,OBSEA/2023-06-16.out,4
20,OBSEA/2022-05-30.out,5
21,OBSEA/2023-07-27.out,1
22,OBSEA/2023-04-15.out,4
23,OBSEA/2023-02-10.out,4
24,OBSEA/2023-03-13.out,4
25,OBSEA/2022-05-02.out,5
26,OBSEA/2022-12-23.out,4
27,OBSEA/2023-07-25.out,1
28,OBSEA/2022-12-29.out,4
29,OBSEA/2022-12-24.out,4
30,OBSEA/2023-05-25.out,4
31,OBSEA/2022-03-01.out,1
32,OBSEA/2022-12-21.out,4
33,OBSEA/2022-05-13.out,5
34,OBSEA/2022-09-07.out,4
35,OBSEA/2022-04-09.out,1
36,OBSEA/2022-03-13.out,1
37,OBSEA/2023-11-06.out,1
38,OBSEA/2023-06-24.out,4
39,OBSEA/2023-04-26.out,4
40,OBSEA/2023-11-07.out,1
41,OBSEA/2023-09-14.out,1
42,OBSEA/2022-09-25.out,4
43,OBSEA/2023-09-26.out,1
44,OBSEA/2022-04-02.out,3
45,OBSEA/2022-09-14.out,4
46,OBSEA/2022-12-18.out,4
47,OBSEA/2023-09-13.out,1
48,OBSEA/2023-08-22.out,1
49,OBSEA/2023-07-22.out,1
50,OBSEA/2022-08-26.out,4
51,OBSEA/2023-06-06.out,4
52,OBSEA/2022-02-20.out,4
53,OBSEA/2022-08-31.out,4
54,OBSEA/2022-03-31.out,3
55,OBSEA/2022-02-11.out,4
56,OBSEA/2023-04-24.out,4
57,OBSEA/2022-07-06.out,1
58,OBSEA/2023-02-28.out,1
59,OBSEA/2022-02-02.out,4
60,OBSEA/2022-08-06.out,4
61,OBSEA/2023-01-28.out,4
62,OBSEA/2023-02-16.out,4
63,OBSEA/2022-01-08.out,0
64,OBSEA/2022-08-21.out,4
65,OBSEA/2023-10-23.out,1
66,OBSEA/2023-09-01.out,1
67,OBSEA/2023-08-28.out,1
68,OBSEA/2023-02-02.out,4
69,OBSEA/2022-04-17.out,3
70,OBSEA/2022-03-11.out,1
71,OBSEA/2022-07-27.out,4
72,OBSEA/2022-08-01.out,4
73,OBSEA/2023-02-12.out,4
74,OBSEA/2022-03-24.out,1
75,OBSEA/2022-09-04.out,4
76,OBSEA/2023-10-08.out,0
77,OBSEA/2022-02-03.out,4
78,OBSEA/2022-05-18.out,5
79,OBSEA/2023-10-06.out,1
80,OBSEA/2022-03-23.out,1
81,OBSEA/2022-07-02.out,5
82,OBSEA/2023-06-02.out,4
83,OBSEA/2023-01-30.out,4
84,OBSEA/2022-01-16.out,0
85,OBSEA/2023-10-09.out,0
86,OBSEA/2023-02-13.out,4
87,OBSEA/2023-10-04.out,1
88,OBSEA/2022-08-03.out,4
89,OBSEA/2022-12-26.out,4
90,OBSEA/2022-06-01.out,5
91,OBSEA/2022-03-02.out,1
92,OBSEA/2022-04-30.out,5
93,OBSEA/2022-01-15.out,0
94,OBSEA/2023-06-11.out,4
95,OBSEA/2022-05-31.out,1
96,OBSEA/2022-09-02.out,4
97,OBSEA/2023-05-22.out,4
98,OBSEA/2023-06-20.out,4
99,OBSEA/2022-04-27.out,1
100,OBSEA/2023-06-23.out,4
101,OBSEA/2023-05-17.out,4
102,OBSEA/2022-08-27.out,4
103,OBSEA/2022-03-04.out,1
104,OBSEA/2022-08-19.out,4
105,OBSEA/2022-04-15.out,3
106,OBSEA/2022-04-11.out,3
107,OBSEA/2023-05-15.out,4
108,OBSEA/2022-02-08.out,4
109,OBSEA/2023-10-10.out,0
110,OBSEA/2023-01-26.out,4
111,OBSEA/2023-11-05.out,1
112,OBSEA/2022-12-17.out,4
113,OBSEA/2022-05-09.out,1
114,OBSEA/2022-03-25.out,1
115,OBSEA/2023-02-15.out,4
116,OBSEA/2022-03-09.out,1
117,OBSEA/2022-04-25.out,3
118,OBSEA/2023-03-27.out,4
119,OBSEA/2023-07-15.out,4
120,OBSEA/2023-03-20.out,4
121,OBSEA/2023-09-21.out,1
122,OBSEA/2022-07-13.out,1
123,OBSEA/2023-06-04.out,4
124,OBSEA/2023-06-14.out,4
125,OBSEA/2023-02-03.out,4
126,OBSEA/2022-05-10.out,5
127,OBSEA/2023-05-29.out,4
128,OBSEA/2022-08-09.out,4
129,OBSEA/2022-01-31.out,4
130,OBSEA/2023-04-10.out,4
131,OBSEA/2022-06-05.out,4
132,OBSEA/2023-07-28.out,1
133,OBSEA/2022-12-22.out,4
134,OBSEA/2023-03-29.out,4
135,OBSEA/2022-02-12.out,4
136,OBSEA/2022-04-21.out,3
137,OBSEA/2022-12-27.out,4
138,OBSEA/2022-03-08.out,1
139,OBSEA/2023-08-01.out,1
140,OBSEA/2022-01-03.out,3
141,OBSEA/2023-01-27.out,4
142,OBSEA/2023-07-19.out,1
143,OBSEA/2023-07-26.out,1
144,OBSEA/2022-01-09.out,0
145,OBSEA/2023-10-19.out,1
146,OBSEA/2022-03-12.out,1
147,OBSEA/2023-06-27.out,4
148,OBSEA/2023-10-02.out,1
149,OBSEA/2023-05-18.out,4
150,OBSEA/2023-07-31.out,1
151,OBSEA/2023-03-17.out,4
152,OBSEA/2022-08-04.out,4
153,OBSEA/2022-08-23.out,4
154,OBSEA/2023-03-23.out,4
155,OBSEA/2022-08-11.out,4
156,OBSEA/2022-08-30.out,4
157,OBSEA/2023-07-30.out,1
158,OBSEA/2022-09-06.out,4
159,OBSEA/2023-04-06.out,4
160,OBSEA/2023-09-17.out,1
161,OBSEA/2023-01-23.out,4
162,OBSEA/2022-10-07.out,4
163,OBSEA/2023-07-10.out,1
164,OBSEA/2022-08-05.out,4
165,OBSEA/2022-03-27.out,3
166,OBSEA/2023-06-03.out,4
167,OBSEA/2023-02-22.out,4
168,OBSEA/2023-02-04.out,4
169,OBSEA/2023-05-31.out,4
170,OBSEA/2022-10-09.out,4
171,OBSEA/2023-06-28.out,4
172,OBSEA/2023-03-25.out,4
173,OBSEA/2023-05-10.out,4
174,OBSEA/2022-09-21.out,4
